Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Header,Filing Date,2025-11-13,2025-08-13,2025-05-15,2024-12-31,2024-09-30
Revenue & Margin,Segment-1,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-
Revenue & Margin,Revenue Total,4306526000,3525791000,2708374000,1915426000,1283993000
Revenue & Margin,Rev-CoGS / Sale (%),73.85263667280773,74.46380117255957,74.28257692622954,74.24332759396604,73.04969731143393
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),58.85175196898847,60.6321248196504,63.109710844957156,67.08914883686448,65.19319030555462
Revenue & Margin,Op. Income / Rev (%),3.628516349373021,6.283100728318837,10.339820128239305,16.933987530711185,16.344871039016567
Revenue & Margin,Net Profit / Rev (%),-17.801959166158525,-28.825559994906108,-38.72585543946294,-45.07864046953524,-76.53079105571447
EBITDA,Net Income,-766646000,-1016329000,-1048841000,-863448000,-982650000
EBITDA,D & A,1998876000,1622421000,1227400000,863413000,551324000
EBITDA,Net Int Inc,-990383000,-784203000,-584003000,-360824000,-227887000
EBITDA,Tax Provision,-10831000,157508000,149884000,119247000,113393000
EBITDA,EBITDA,2211782000,1547803000,912446000,480036000,-90046000
EBITDA,Stock-Based Comp,481430000,344616000,207271000,31487000,31562000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,136.85,163.06,37.08,40.0,40.0
Capital Structure,O/S Shares,497886000,486591000,404407000,404407000,435533000
Capital Structure,Market Capitalization,68135699100,79343528460,14995411560,16176280000,17421320000
Capital Structure,Cash,1894399000.0,1152883000.0,1276456000.0,1361083000.0,1355216000.0
Capital Structure,Debt,18808277000.0,14562481000.0,11896877000.0,10620277000.0,6277599000.0
Capital Structure,Enterprise Value,85049577100,92753126460,25615832560,25435474000,22343703000
Capital Structure,netCommonStockIssuance,1435600000,1492032000,1422619000,1563000,-1470000
Capital Structure,netDebtIssuance,1716430000,2307468000,513852000,3468435000,1217869000
Liquidity & Cash Flow,DSO,107.50772142093186,101.28053782824904,66.69834603714258,44.04050913478255,48.45429842686058
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,364.1688949711512,440.49507387657957,408.70914354709964,347.28712374581943,386.3009839902901
Liquidity & Cash Flow,CCC,-256.66117355021936,-339.2145360483305,-342.01079750995706,-303.2466146110369,-337.8466855634295
Liquidity & Cash Flow,OCF,1685783000,637871000,771298000,2749168000,2606057000
Liquidity & Cash Flow,CapEx,-9747066000,-8573333000,-8367502000,-8702078000,-6384305000
Liquidity & Cash Flow,FCF,-8061283000,-7935462000,-7596204000,-5952910000,-3778248000
BQR,Total Debt / Adj Ebitda,8.503675769130954,9.408484800714303,13.038445014828275,22.12391778949912,999.0
BQR,Adj Ebitda / Interest Expense,2.2332592542481042,1.973727465975009,1.5623995082217044,1.3303882225129149,-999.0
BQR,Net Income before extraordinary,-766646000,-1016329000,-1048841000,-863448000,-982650000
BQR,(NCO-CAPEX) / Total Debt (%),-42.86029496481788,-54.49251401598395,-63.85040376562689,-56.05230447379103,-60.18619539094485
BQR,Score: Operating Leverage,75,75,75,75,75
BQR,Score: ICR,65,65,65,75,75
BQR,Score: Net Income,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75
BQR,BQR,73.5,73.5,73.5,75.0,75.0
