Category,Metric,AGL,AR,BA,CPE,CRWV,DAL,DKL,EHAB,FUN,HBI,HE,HGV,IFF,KNTK,LUV,LYV,MAR,MGI,MUR,NE,NWL,OI,OII,OMP,OSCR,OXY,PDS,QUAD,RES,RRC,SM,SMG,SNAP,TDS,THC,TNL,VLO,WFRD,WH,WORK,WYND
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-5.932032762836435,16.088062680947107,-1.9728826442216334,30.202233213388368,58.85175196898847,19.05024935294489,19.140187302309236,7.797289559076159,43.86194319303781,13.054651536315895,8.32930819527742,26.190476190476193,18.56749311294766,26.30358100257838,9.446602287709796,38.98216111996775,17.65065302069808,13.947761194029852,66.80284078809102,19.57740640278941,6.246529705719045,10.364145658263306,11.575716303253122,57.52391360969108,10.010497010321902,27.71476833976834,46.32852149383557,4.909293772469937,3.4952163023203484,28.26313400586918,32.62660691541016,14.921809717082487,21.46922985234463,39.21815231972863,34.97888315344909,14.370959721531577,4.592688137369503,39.38592923952826,10.776766969909026,13.579974484690302,4.026402640264026
Revenue & Margin,Op. Income / Rev (%),-6.344652031213284,17.26024507963611,-6.0080703754624825,13.851761117643369,3.628516349373021,9.188182564232056,19.06286824750367,0.7825920977285742,-43.72979422240959,13.054651536315895,8.32930819527742,11.024409763905563,-2.8833792470156103,8.152185922313725,1.5251398638777038,7.379713606080422,15.813793630184067,7.08955223880597,11.079684113309325,14.37093981923369,6.2048861743475845,9.523809523809524,10.93875483270334,47.30809104790893,-3.387253537538627,16.417310167310166,13.625846531416276,4.909293772469937,3.4952163023203484,26.640186352249533,33.765084150908905,11.746448609287334,-8.971959118913142,2.619952796296499,16.46175504458001,15.290900049726504,2.564391954532629,15.372102480683205,28.411476557032888,-26.91218566441928,-3.6963696369636962
Revenue & Margin,Net Profit / Rev (%),-5.237469737430744,12.191242692691379,2.4982394956574225,21.890238080298563,-17.801959166158525,7.9003850766997035,17.00119906555581,-1.1357129223134186,-50.77855645070508,9.593663741665782,0.6195039705262352,1.7607042817126852,-3.1955922865013773,7.294994551330883,1.5714642055375407,3.6958685880448017,9.93278851294585,2.544776119402985,3.8325407722385756,6.596028449266611,-3.9561354802887285,-2.007469654528478,12.706220484771686,39.3276100689958,-3.787153481365991,9.226190476190476,0.10179328932428697,1.1157485846522583,1.9722532009153027,20.002433288502257,22.230964221077205,2.6799570251880147,-7.763518750146465,-0.014574171773604967,6.602534021586109,5.743411238189955,1.8928614615663668,8.76372509150061,13.50594821553534,-25.982919316813728,-18.546336633663365
EBITDA,Net Income,-308255000,634418000,2235000000,401201000,-766646000,5006000000,164473000,-11900000,-1574282000.0,330011000.0,17148000,88000000,-348000000,125451000,441000000,698072000.0,2601000000,34100000,104200000,216717000,-285000000,-129000000,353761000,154014000,-443151000,2294000000,1876370,27000000,32080000,573779000,727300000,89800000,-460489000,-386000.0,1407000000,231000000,2348000000.0,431000000,193000000.0,-253156000,-280977000
EBITDA,D & A,28119000,753567000,1953000000,511882000,1998876000,2443000000,114081000,25400000,365011000.0,41697000.0,262528999,283000000,1048000000,179372000,1561000000,490608000.0,599000000,52000000,977753000,577104000,231000000,489000000,102255000,36835000,13700000,7883000000,317831858,78600000,161193000,368350000,888262000,90900000,163633000,563746000.0,868000000,185000000,2341000000.0,267000000,46000000.0,29598000,126000000
EBITDA,Net Int Inc,-6499000,-83682000,-2771000000,-39800000,-990383000,-679000000,20049000,-36500000,-359958000.0,-184361000.0,-77927000,-314000000,-229000000,-213667000,91000000,-124069000.0,-767000000,-53500000,-96072000,0,-321000000,-344000000,-22494000,-26372000,-17601000,-681000000,-52377222,-50500000,3110001,-108316000,-174262000,-122400000,45159000,-150615000.0,-821000000,96000000,-556000000.0,-91000000,-139000000.0,-47292000,0
EBITDA,Tax Provision,1684000,215867000,397000000,-189808000,-10831000,1178000000,717000,7399999,-87894001.0,-195893000.0,38476000,29000000,-36000000,12777000,122000000,389196000.0,793000000,3300000,71876000,202081000,-16000000,52000000,-67861000,627000,5606000,1154000000,52829808,5500000,24469000,85366000,202918000,87300000,17710000,-38836000.0,433000000,107000000,759000000.0,97000000,72000000.0,608000,-54023000
EBITDA,EBITDA,-271953000,1687534000,7356000000,763075000,2211782000,9306000000,259222000,57399999,-937207001.0,360176000.0,396079999,714000000,893000000,531267000,2033000000,1701945000.0,4760000000,142900000,1249901000,995902000,251000000,756000000,410649000,217848000,-406244000,12012000000,424915258,161600000,214631999,1135811000,1992742000,390400000,-324305000,675139000.0,3529000000,427000000,6004000000.0,886000000,450000000.0,-175658000,-209000000
EBITDA,Stock-Based Comp,41881000,60812000,426000000,11413000,481430000,0,0,13700000,40962000.0,0.0,-600000,40000000,84000000,37897000,0,126912000.0,236000000,14300000,16614000,30512000,46000000,25000000,0,714000,49084000,0,11998000,5100000,9101000,52645000,28592000,60900000,1016825000,44000000.0,104000000,64000000,0.0,29000000,0.0,232669000,20000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,1.03,34.46,217.12,32.4,136.85,69.4,45.54,8.01,15.34,6.59,11.04,41.81,67.39,42.74,41.33,142.5,310.24,10.42,31.25,28.24,3.72,14.76,24.03,22.33,14.37,41.12,98.63,6.27,5.44,37.64,24.97,57.93,8.07,41.0,198.72,70.53,162.79,78.26,75.56,42.4,44.86
Capital Structure,O/S Shares,414465000,309719000,768083097,67257000,497886000,649000000,53505419,50700000,101476000.0,354183000.0,172617000,95500000,256000000,61866000,516000000,232043356.0,268500000,100700000,143124000,158872000,419200000,152946000,100762000,48570000,283247000,988000000,13052000,47500000,212247000,237378000,114826000,57900000,1710465000,115000000.0,87914691,64099999,303000000.0,71800000,75700000.0,581550000,85900000
Capital Structure,Market Capitalization,426898950,10672916740,166766202020,2179126800,68135699100,45040600000,2436636781,406107000,1556641840.0,2334065970.0,1905691679,3992855000,17251840000,2644152840,21326280000,33066178230.0,83299440000,1049294000,4472625000,4486545280,1559424000,2257482960,2421310860,1084568100,4070259390,40626560000,1287301849,297825000,1154623680,8934907920,2867205220,3354147000,13803452550,4715000000.0,17470407395,4520972929,49325370000.0,5619068000,5719892000.0,24657720000,3853474000
Capital Structure,Cash,171684000,210000000,10921000000,3325000,1894399000.0,4310000000,6912000,56900000.0,91134000.0,217573000.0,1027210000,215000000,590000000,7737000,3231000000,7094200000.0,358000000,1506400000,377000000,471399000,203000000,759000000,688874000,29682000,2774151000,1968000000,85711093,63300000,209974000,175000,162251000,8300000,1030435000,144968000.0,2883000000,253000000,4688000000.0,1042000000,64000000.0,1332649000.0,1196000000
Capital Structure,Debt,37121000,5136861000,54098000000,1918655000,18808277000.0,21083000000,7624000,516500000.0,0.0,2665372000.0,2994077000,7282000000,5994000000,4219302000,5981000000,2624604000.0,17083000000,829000000,2201687000,1975791000,5652000000,4999000000,487417000,651363000,430095000,1773000000,790762052,444000000,95148000,1373088000,2294118000,2528500000,4700954000,0.0,13171000000,5853000000,10619000000.0,1751000000,3057000000.0,698247000.0,6418000000
Capital Structure,Enterprise Value,292335950,15599777740,209943202020,4094456800,85049577100,61813600000,2437348781,865707000,1465507840.0,4781864970.0,3872558679,11059855000,22655840000,6855717840,24076280000,28596582230.0,100024440000,371894000,6297312000,5990937280,6895424000,6497482960,2219853860,1706249100,1726203390,40431560000,1992352808,678525000,1039797680,10307820920,4999072220,5874347000,17473971550,4570032000.0,27758407395,10120972929,55256370000.0,6328068000,8712892000.0,24023318000,9075474000
Capital Structure,netCommonStockIssuance,-236000,-83000,0,0,1435600000,0,-10000000,0,0.0,0.0,0,-141000000,-38000000,-100000000,-37000000,0.0,-1000000000,0,0,3000,0,-10000000,0,0,12841000,18000000,-21337597,-200000,0,-56255000,-12128000,-7600000,-249919000,0.0,-202000000,0,0.0,-7000000,0.0,0,0
Capital Structure,netDebtIssuance,0,82495000,-2873000000,0,1716430000,-895000000,75934000,-15600000,0.0,-26839000.0,-63667000,106000000,-56000000,206100000,828000000,0.0,205000000,0,0,18525000,-107000000,-114000000,0,0,-4670000,-170000000,0,-100600000,0,139000,0,413900000,0,0.0,-27000000,0,0.0,-126000000,0.0,0,0
Liquidity & Cash Flow,DSO,65.90702329476613,32.519695935413054,50.31433385869018,42.02074984245288,107.50772142093186,19.972638248847925,69.50184123751835,53.7589473181905,19.053225360603477,44.04108313213959,60.50076345157786,248.9018107242897,64.39451331496787,29.361440111741327,14.170527028471653,9739.458801893868,41.43989154510044,205.7006529850746,37.716325226026115,87.38891760876659,49.43763881177124,43.991985683162156,64.12513029083141,72.39408683972647,18.694579729463765,56.76701254826254,70.95095185017648,34.04293565849829,70.29061608935635,35.20027219364793,41.16602484806192,47.76001253432017,76.03958212051798,72.7905314890839,56.50563115908024,191.12133267031325,24.01358378007981,92.43747458316388,77.52099370188944,57.47741238221236,500.9414191419142
Liquidity & Cash Flow,DIO,0.0,0.0,368.70598632904256,50.84500781425193,0.0,11.744709437276512,6.061402386871409,0.0,18.691776407070957,173.63251611186126,0.0,288.12080255204836,121.65378916172735,0.0,12.311601709180371,0.0,0.0,0.0,30.747806243792795,0.0,111.65313285834031,67.93131816472358,27.40785588753783,19.427707347003075,0.0,33.108168097070134,19.827109944228944,29.358735824220332,30.381277011638545,0.0,0.0,108.78032170190686,0.0,24.340033641186004,13.363133248190719,188.29978813559322,23.05792116345285,120.21825396825396,0.0,0.0,383.3301317233809
Liquidity & Cash Flow,DPO,58.53069510301208,7.000683981717535,50.4916523771493,65.51166059082446,364.1688949711512,38.392128980991615,96.2950902337578,5.640847677216361,28.338774612497065,106.86008481219619,30.956754460358848,116.52913028878442,50.95628704487722,10.770208977347144,6.167616211316846,20360.5955442297,14.011541822418563,56.02081558773425,244.37266086456538,45.531975034194275,72.05155071248953,75.70421210981571,20.66877482833976,53.25558425298698,41.22272900806216,77.87710861201539,111.31621621355652,57.86281136087485,31.68737783117838,26.01111487338831,39.177528793821395,46.20697669390755,23.907642650842014,48.98181580324437,52.471663473818644,10.207627118644067,26.584051540415665,94.45719954648526,16.139455782312925,41.32469869279597,25.141328210757408
Liquidity & Cash Flow,CCC,7.376328191754055,25.519011953695518,368.52866781058344,27.35409706588034,-256.66117355021936,-6.674781294867177,-20.73184660936805,48.11809964097414,9.406227155177373,110.81351443180466,29.544008991219012,420.4934829875536,135.09201543181797,18.591231134394185,20.31451252633518,-10621.136742335833,27.428349722681872,149.67983739734035,-175.90852939474647,41.856942574572315,89.03922095762204,36.21909173807002,70.86421135002948,38.56620993374257,-22.528149278598395,11.998072033317285,-20.538154419151084,5.5388601218437685,68.98451526981651,9.189157320259625,1.988496054240528,110.33335754231946,52.13193946967596,48.14874932702553,17.397100933452315,369.2134936872624,20.487453403116994,118.19852900493258,61.381537919576516,16.152713689416387,859.1302226545376
Liquidity & Cash Flow,OCF,-68807000,1630930000,1065000000,1092529000,1685783000,8342000000,250406000,62200000,365140000.0,23159000.0,421238000,238000000,850000000,638020000,1843000000,1449046000.0,3212000000,108700000,1247808000,951678000,264000000,600000000,320865000,207304000,1094854000,10532000000,412774240,95900000,201331000,1131708000,2136957000,446200000,656170000,572313000.0,3540000000,869000000,3769000000.0,676000000,215000000.0,126465000,374000000
Liquidity & Cash Flow,CapEx,-29581999,-52709000,-2942000000,-1256921000,-9747066000,-4501000000,-285072000,-4400000,-408075000.0,-31352000.0,-341056000,-161000000,-487000000,-284150000,-2673000000,-709797000.0,-663000000,-63400000,-1045016000,-519523000,-247000000,-239000000,-111015000,-24880000,-36372000,-6427000000,-263431635,-45200000,-148407000,-149460000,-2516709000,-88100000,-218981000,-262234000.0,-1010000000,-85000000,-177000000.0,-149000000,-30000000.0,-7611000,-69000000
Liquidity & Cash Flow,FCF,-98538000,1369812000,-1877000000,-164392000,-8061283000,3841000000,-40849000,57800000,-42935000.0,-8193000.0,80182000,113000000,256000000,353870000,-830000000,739249000.0,2898000000,45300000,396396000,432155000,17000000,268000000,209850000,182424000,1058482000,4105000000,149366584,50700000,52924000,982248000,-1137504000,358099999,437189000,306254000.0,2530000000,726000000,3592000000.0,450000000,185000000.0,118854000,305000000
BQR,Total Debt / Adj Ebitda,999,3.0440044467252214,7.354268624252311,2.5143727680765324,8.503675769130954,2.2655276165914464,0.029411083935777058,8.99825799648533,999.0,7.400193238861001,7.559273398200549,10.198879551820728,6.712206047032475,7.941961386647392,2.941957697983276,1.5421203387888562,3.5888655462184875,5.801259622113366,1.761489109937507,1.9839211087034667,22.51792828685259,6.612433862433862,1.1869431071304204,2.989988432301421,999.0,0.1476023976023976,1.8609876607443454,2.7475247524752477,0.4433076169597619,1.2089053548521718,1.1512368384868688,6.476690573770492,999,0.0,3.7322187588551996,13.707259953161593,1.7686542305129913,1.9762979683972912,6.793333333333333,999,999.0
BQR,Adj Ebitda / Interest Expense,-999,20.166033316603333,2.654637315048719,19.172738693467338,2.2332592542481042,13.705449189985272,-999.0,1.5726027123287671,-999.0,1.9536452937443385,5.082705596263169,2.2738853503184715,3.8995633187772927,2.486425138182312,-999.0,13.71772965043645,6.2059973924380705,2.6710280373831776,13.010044549920893,-999.0,0.7819314641744548,2.197674418604651,18.255934915977594,8.26057940239648,-999.0,17.63876651982379,8.112596311427131,3.2,-999.0,10.486087004689981,11.435321527355361,3.189542483660131,-999,4.482548218968894,4.298416565164434,-999.0,10.798561151079136,9.736263736263735,3.237410071942446,-999,-999
BQR,Net Income before extraordinary,-308255000,634418000,2235000000,401201000,-766646000,5006000000,164473000,-11900000,-1574282000.0,330011000.0,17148000,88000000,-348000000,125451000,441000000,698072000.0,2601000000,34100000,104200000,216717000,-285000000,-129000000,353761000,154014000,-443151000,2294000000,1876370,27000000,32080000,573779000,727300000,89800000,-460489000,-386000.0,1407000000,231000000,2348000000.0,431000000,193000000.0,-253156000,-280977000
BQR,(NCO-CAPEX) / Total Debt (%),-265.45082298429463,26.666324044976104,-3.469629191467337,-8.56808545569683,-42.86029496481788,18.218469857230943,-535.7948583420776,11.190706679574056,999.0,-0.30738673626045443,2.6780206387477676,1.5517714913485305,4.270937604270937,8.38693224613929,-13.877278047149305,28.166115726410535,16.96423344845753,5.464414957780458,18.00419405664838,21.872505745800037,0.3007784854918613,5.361072214442888,43.053483977784936,28.006503286186042,246.10423278577989,231.52848279751834,18.888941827977348,11.41891891891892,55.622819186950856,71.53569181290638,-49.583500064076915,14.16254692505438,9.300005913693264,999.0,19.208867967504364,12.403895438236802,33.82616065542895,25.69960022844089,6.051684658161596,17.021770233169637,4.752259270800873
BQR,Score: Operating Leverage,75,45,75,45,75,42,15,75,75,75,75,75,75,75,45,35,48,65,42,42,75,75,35,45,75,15,42,45,15,35,35,75,75,15,48,75,42,42,75,75,75
BQR,Score: ICR,75,25,58,25,65,35,75,65,75,65,48,65,58,65,75,35,48,58,35,75,75,65,25,45,75,25,45,58,75,42,42,58,75,55,55,75,42,45,58,75,75
BQR,Score: Net Income,75,35,25,35,75,15,42,65,75,35,52,42,75,42,35,35,25,48,42,35,75,75,35,42,75,25,58,48,48,35,35,42,75,65,25,35,25,35,42,75,75
BQR,Score: FCF/Debt,75,42,75,75,75,48,75,58,15,75,75,75,75,58,75,42,52,75,48,45,75,75,25,42,15,15,48,58,15,15,75,55,58,15,48,55,35,42,65,48,75
BQR,BQR,75.0,38.75,59.95,47.0,73.5,35.7,45.75,66.75,60.0,63.5,65.2,65.25,72.45,61.0,54.5,36.75,43.25,62.2,42.45,45.95,75.0,73.5,31.0,43.5,60.0,19.0,47.95,50.949999999999996,32.25,31.05,46.05,59.2,70.75,33.5,43.3,60.0,36.0,40.7,61.7,68.25,75.0
