Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-03-31,2026-02-17,2025-11-03,2025-08-01,2025-05-01,2025-02-18,2024-11-01,2024-08-01,2024-05-01,2024-02-21,2023-11-01,2023-08-03,2023-05-04,2023-02-23,2022-11-03,2022-08-04,2022-05-05,2022-02-23
Revenue & Margin,Segment-1,-,Cardiovascular,-,-,-,Cardiovascular,-,-,-,Cardiovascular,-,-,-,Cardiovascular,-,-,-,Cardiovascular
Revenue & Margin,Segment-1 %,-,66.0%,-,-,-,64.2%,-,-,-,61.9%,-,-,-,61.7%,-,-,-,40.9%
Revenue & Margin,Segment-2,-,MedSurg,-,-,-,MedSurg,-,-,-,MedSurg,-,-,-,MedSurg,-,-,-,MedSurg
Revenue & Margin,Segment-2 %,-,34.0%,-,-,-,35.8%,-,-,-,38.1%,-,-,-,38.3%,-,-,-,31.4%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cardiac Rhythm Management
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.7%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"20,615,000","20,075,000","19,350,000","18,494,000","17,553,000","16,746,000","15,910,000","15,228,000","14,707,000","14,240,000","13,757,000","13,400,000","13,045,000","12,682,000","12,567,000","12,329,000","12,162,000","9,136,000"
Revenue & Margin,Rev-CoGS / Rev,70.41%,69.01%,65.05%,63.23%,61.84%,61.44%,62.41%,62.04%,62.14%,62.02%,61.61%,61.46%,60.93%,60.83%,61.27%,61.68%,62.14%,62.55%
Revenue & Margin,Rev-CoGS-SG&A / Rev,36.11%,34.70%,30.60%,28.15%,26.42%,25.70%,26.26%,26.38%,25.84%,25.58%,25.45%,25.27%,25.20%,25.30%,25.50%,25.63%,25.97%,26.00%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,20.12%,19.78%,17.33%,16.10%,16.56%,15.85%,16.49%,16.46%,15.71%,15.32%,15.07%,14.74%,14.57%,14.53%,14.73%,14.87%,15.35%,15.43%
Revenue & Margin,Net Income / Rev,17.24%,14.40%,14.41%,13.53%,11.58%,11.07%,11.26%,11.99%,12.05%,11.18%,8.93%,6.81%,6.91%,5.51%,5.20%,7.17%,6.66%,7.65%
EBITDA,Net Income ($k),"3,553,000","2,890,000","2,788,000","2,502,000","2,033,000","1,853,000","1,791,000","1,826,000","1,772,000","1,592,000","1,228,000","912,000","902,000","699,000","653,000","884,000","810,000","699,000"
EBITDA,D & A ($k),"1,043,000","1,368,000","1,351,000","1,645,000","1,620,000","1,599,000","1,564,000","1,228,000","1,215,000","1,196,000","1,177,000","1,161,000","1,147,000","1,136,000","1,132,000","1,120,000","1,099,000","1,093,000"
EBITDA,Net Interest Expense ($k),"357,000","354,000","381,000","377,000","368,000","353,000","281,000","265,000","255,000","250,000","265,000","262,000","254,000","478,000","505,000","526,000","550,000","259,000"
EBITDA,Tax Provision ($k),"184,000","493,000","485,000","502,000","454,000","436,000","414,000","319,000","377,000","393,000","648,000","600,000","529,000","443,000","213,000","220,000","98,000","53,000"
EBITDA,EBITDA ($k),"5,137,000","5,105,000","5,005,000","5,026,000","4,475,000","4,241,000","4,050,000","3,638,000","3,619,000","3,431,000","3,318,000","2,935,000","2,832,000","2,756,000","2,503,000","2,750,000","2,557,000","2,104,000"
EBITDA,Stock-Based Comp ($k),"154,000","228,000","297,000","157,000","277,000","266,000","256,000","376,000","241,000","233,000","229,000","228,000","223,000","220,000","214,000","207,000","199,000","194,000"
