Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-04-30,2026-02-11,2025-10-31,2025-08-01,2025-05-02,2025-02-12,2024-10-30,2024-07-31,2024-05-01,2024-02-14,2023-11-03,2023-08-04,2023-05-02,2023-02-10,2022-11-01,2022-07-27,2022-04-29,2022-02-11
Revenue & Margin,Segment-1,-,MedSurg,-,-,-,MedSurg,-,-,-,MedSurg,-,-,-,MedSurg,-,-,-,MedSurg
Revenue & Margin,Segment-1 %,-,62.3%,-,-,-,59.8%,-,-,-,57.7%,-,-,-,57.5%,-,-,-,55.8%
Revenue & Margin,Segment-2,-,Orthopaedics,-,-,-,Orthopaedics,-,-,-,Orthopaedics and Spine,-,-,-,Orthopaedics and Spine,-,-,-,Orthopaedics and Spine
Revenue & Margin,Segment-2 %,-,37.7%,-,-,-,40.2%,-,-,-,42.3%,-,-,-,42.5%,-,-,-,44.2%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"25,270,000","25,116,000","24,381,000","23,818,000","23,218,000","22,595,000","21,974,000","21,389,000","20,963,000","20,498,000","19,885,000","19,455,000","18,952,000","18,449,000","17,948,000","17,629,000","17,430,000","13,155,000"
Revenue & Margin,Rev-CoGS / Rev,63.67%,63.54%,62.63%,62.19%,61.96%,61.52%,61.28%,61.21%,61.09%,60.89%,60.35%,59.78%,59.51%,59.62%,60.48%,61.41%,62.09%,62.58%
Revenue & Margin,Rev-CoGS-SG&A / Rev,29.85%,30.20%,29.29%,28.99%,28.68%,28.53%,28.19%,27.81%,27.77%,27.47%,26.94%,26.71%,26.61%,26.91%,27.33%,28.03%,28.46%,29.42%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,21.34%,22.44%,21.89%,22.72%,22.43%,22.27%,21.82%,21.40%,21.39%,21.16%,20.66%,20.39%,20.09%,20.24%,20.22%,20.85%,21.27%,22.22%
Revenue & Margin,Net Income / Rev,13.21%,12.92%,12.07%,12.25%,12.31%,13.25%,16.34%,16.12%,16.03%,15.44%,13.00%,13.92%,13.86%,12.78%,13.69%,11.79%,11.56%,12.86%
EBITDA,Net Income ($k),"3,337,000","3,246,000","2,943,000","2,918,000","2,859,000","2,993,000","3,590,000","3,448,000","3,361,000","3,165,000","2,585,000","2,709,000","2,627,000","2,358,000","2,457,000","2,079,000","2,015,000","1,692,000"
EBITDA,D & A ($k),"946,000","1,218,000","1,166,000","1,100,000","1,062,000","1,050,000","1,036,000","1,030,000","1,031,000","1,028,000","1,031,000","1,019,000","1,013,000","998,000","983,000","968,000","956,000","990,000"
EBITDA,Net Interest Expense ($k),"645,000","607,000","179,000","20,000","-141,000","-139,000","-127,000","-112,000","-97,000","-75,000","-73,000","-84,000","-93,000","-94,000","-79,000","-68,000","-66,000","-51,000"
EBITDA,Tax Provision ($k),"1,263,000","1,268,000","394,000","433,000","474,000","499,000","600,000","568,000","556,000","508,000","623,000","446,000","349,000","325,000","222,000","279,000","285,000","222,000"
EBITDA,EBITDA ($k),"6,191,000","6,339,000","4,682,000","4,471,000","4,254,000","4,403,000","5,099,000","4,934,000","4,851,000","4,626,000","4,166,000","4,090,000","3,896,000","3,587,000","3,583,000","3,258,000","3,190,000","2,853,000"
