Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-03-31,2026-02-25,2025-11-05,2025-08-06,2025-05-06,2025-02-28,2024-11-06,2024-07-31,2024-04-29,2024-02-12,2023-10-27,2023-07-28,2023-04-28,2023-02-13,2022-10-28,2022-07-29,2022-04-28,2022-02-14
Revenue & Margin,Segment-1,-,Transcatheter Heart Valves,-,-,-,Transcatheter Heart Valves,-,-,-,Transcatheter Heart Valves,-,-,-,Transcatheter Heart Valves,-,-,-,Transcatheter Heart Valves
Revenue & Margin,Segment-1 %,-,74.0%,-,-,-,75.5%,-,-,-,64.6%,-,-,-,65.4%,-,-,-,65.4%
Revenue & Margin,Segment-2,-,Surgical Heart Valve Therapy,-,-,-,Surgical Heart Valve Therapy,-,-,-,Surgical Heart Valve Therapy,-,-,-,Surgical Heart Valve Therapy,-,-,-,Surgical Heart Valve Therapy
Revenue & Margin,Segment-2 %,-,17.0%,-,-,-,18.0%,-,-,-,16.6%,-,-,-,16.6%,-,-,-,17.0%
Revenue & Margin,Segment-3,-,Transcatheter Mitral And Tricuspid Therapies,-,-,-,Transcatheter Mitral And Tricuspid Therapies,-,-,-,Critical Care,-,-,-,Critical Care,-,-,-,Critical Care
Revenue & Margin,Segment-3 %,-,9.1%,-,-,-,6.5%,-,-,-,15.5%,-,-,-,15.9%,-,-,-,16.0%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,Transcatheter Mitral And Tricuspid Therapies,-,-,-,Transcatheter Mitral And Tricuspid Therapies,-,-,-,Transcatheter Mitral And Tricuspid Therapies
Capital Structure,Enterprise Value ($k),"46,382,336","47,246,000","43,486,819","43,339,070","40,097,312","41,317,694","36,439,528","53,388,025","56,175,400","45,699,300","41,333,960","56,890,777","50,073,775","45,650,769","50,653,074","58,526,081","72,890,912","80,679,655"
Capital Structure,netCommonStockIssuance ($k),0,"-8,300","157,000","51,700","-208,700",-100,"-901,000","-158,100",-200,"-448,400","-174,400","-7,500","-249,300","-866,000","-100,400","-355,100","-405,600","-96,500"
Capital Structure,netDebtIssuance ($k),0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-100,0,-100
Liquidity & Cash Flow,DSO,39.2,52.0,50.8,51.3,51.5,54.4,57.3,58.3,59.1,55.9,52.9,49.8,46.8,46.2,45.8,45.9,46.3,61.2
Liquidity & Cash Flow,DIO,224.2,310.3,319.2,338.3,342.2,353.3,351.4,342.5,347.3,303.1,289.6,266.8,245.6,242.3,227.7,222.4,216.6,291.1
Liquidity & Cash Flow,DPO,36.5,49.9,49.6,53.6,57.6,61.4,62.8,63.7,65.9,59.4,58.4,55.3,52.3,52.9,52.4,50.4,47.5,62.2
Liquidity & Cash Flow,CCC,226.9,312.4,320.4,336.0,336.1,346.3,345.9,337.2,340.5,299.6,284.1,261.3,240.1,235.6,221.0,217.9,215.4,290.1
Liquidity & Cash Flow,OCF ($k),"1,314,800","1,595,200","1,016,800","794,900","876,200","542,300","806,400","866,100","528,200","895,800","1,042,000","940,400","1,239,000","1,218,200","1,309,000","1,531,000","1,724,900","1,732,100"
Liquidity & Cash Flow,CapEx ($k),"-204,200","-260,200","-217,200","-191,600","-227,700","-257,000","-304,200","-327,600","-290,100","-266,300","-253,800","-258,400","-253,600","-264,800","-269,500","-270,300","-296,500","-329,800"
Liquidity & Cash Flow,FCF ($k),"1,110,600","1,335,000","804,200","607,900","653,100","289,900","502,200","538,500","238,100","629,500","788,200","682,000","985,400","953,400","1,039,500","1,260,700","1,428,400","1,402,300"
BQR,Total Debt / Adj Ebitda,0.0x,0.5x,0.4x,0.2x,0.2x,0.2x,0.2x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.5x
BQR,Adj Ebitda / Interest Expense,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,317.4x,266.6x,238.3x
BQR,Net Income before extraordinary ($k),"1,092,800","1,070,100","1,364,500","4,144,200","4,178,100","4,172,000","4,156,300","1,470,400","1,413,800","1,402,400","1,430,900","1,389,500","1,488,800","1,521,900","1,458,800","1,455,400","1,538,500","1,164,900"
BQR,(NCO-CAPEX) / Total Debt,99900.00%,189.25%,114.84%,86.52%,93.38%,41.41%,71.06%,77.71%,34.05%,91.88%,114.05%,99.63%,143.27%,137.91%,151.35%,184.64%,207.56%,203.14%
BQR,Score: Operating Leverage,15,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,15,15,15
BQR,Score: Net Income,25,25,25,15,15,15,15,25,25,25,25,25,25,25,25,25,25,25
BQR,Score: FCF/Debt,15,15,15,15,15,25,15,15,35,15,15,15,15,15,15,15,15,15
BQR,BQR,26.5,30.0,26.5,24.0,24.0,26.5,24.0,26.5,31.5,26.5,26.5,26.5,26.5,26.5,26.5,17.5,17.5,17.5
