Category,Metric,ADTN,CZR,ESLT,FNKO,MAXR,MCS,MMI,SMTC,WLFC
Header,Fiscal Period,2025-Q4,2025-Q4,2025-Q3,2025-Q3,2023-Q1,2025-Q4,2025-Q4,2026-Q3,2025-Q3
Header,Statement Date,2025-12-31,2025-12-31,2025-09-30,2025-09-30,2023-03-31,2025-12-31,2025-12-31,2025-10-31,2025-09-30
Header,Filing Date,2026-02-26,2026-02-17,2025-11-18,2025-11-06,2023-05-03,2026-02-27,2026-02-26,2025-11-25,2025-11-04
Revenue & Margin,Segment-1,Optical Networking Solutions,Casino,Product,UNITED STATES,Service,Admission,Real Estate Brokerage Commissions,IoT Systems And Connectivity,Spare Parts And Equipment Sales
Revenue & Margin,Segment-1 %,3509.0%,6439.3%,9058.9%,6496.0%,6716.5%,3070.5%,8376.0%,3570.3%,4491.6%
Revenue & Margin,Segment-2,Subscriber Solutions And Experience,"Hotel, Owned",Service,Europe,Product,Concessions,Financing Fees,Advanced Protection And Sensing Products Group,Maintenance Services
Revenue & Margin,Segment-2 %,3405.4%,1892.8%,941.1%,2703.2%,3283.5%,2756.6%,1376.1%,3551.1%,4004.1%
Revenue & Margin,Segment-3,Access & Aggregation Solutions,Food and Beverage,-,Non-US,-,Occupancy,Other Revenues,Signal Integrity,Managed Services And Other Revenue
Revenue & Margin,Segment-3 %,3085.6%,1668.0%,-,800.8%,-,1595.9%,247.9%,2878.6%,1504.3%
Revenue & Margin,Others,-,-,-,-,-,"Product and Service, Other, Food and Beverage",-,IoT Connected Services Group,"Other Revenue, Asset Transition Fees"
Revenue & Margin,Others %,-,-,-,-,-,2577.1%,-,1111.4%,192.0%
Revenue & Margin,Net Profit / Rev (%),-4.212558139964035,-4.370538046317256,5.916173689833639,-7.393830167025178,-9.573810994441013,1.6732633843930713,-0.25279544888738226,2.7779509458222127,17.874675684342478
EBITDA,Net Income,-45656000,-502000000,463582164,-68677000,-155000000,12691000,-1909000,28519000,122631000
EBITDA,D & A,68287999,1417000000,170072000,60493000,210000000,16835000,12098000,46345000,106890000
EBITDA,Net Int Inc,-28413800,-2304000000,-150994781,-18194000,-111000000,-11472000,-773000,-49031000,-125866000
EBITDA,Tax Provision,4993000,-11000000,38033889,4625000,0,-3984000,4929000,-12431000,50527000
EBITDA,EBITDA,56038799,3208000000,822682834,14635000,166000000,37014000,15891000,111464000,405914000
EBITDA,Stock-Based Comp,6465000,0,23227000,11978000,33000000,6216000,24226000,58529000,34554000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,8.69,23.39,509.8,3.44,51.06,15.51,27.29,70.66,137.09
Capital Structure,O/S Shares,79877000,203000000,46349000,54649000,74300000,30768000,38826000,87682000,7484307
Capital Structure,Market Capitalization,694131130,4748170000,23628720200,187992560,3793758000,477211680,1059561540,6195610120,1026023646
Capital Structure,Cash,95696000,887000000,142145851,39177000,26000000,23448000,161921000,164700000,170967000
Capital Structure,Debt,245038000,26344000000,1065959805,312235000,2380000000,335482000,78255000,534654000,2239451000
Capital Structure,Enterprise Value,843473130,30205170000,24552534154,461050560,6147758000,789245680,975895540,6565564120,3094507646
Capital Structure,netCommonStockIssuance,395000,-50000000,21000,0,0,-1827000,-17011000,-216723000,118000
Capital Structure,netDebtIssuance,-1653000,-27000000,-187542000,-15793000,0,-3704000,0,175568000,-566317000
Liquidity & Cash Flow,DSO,63.45614348311092,14.530406581925824,155.21468216801765,43.14029861914082,86.57195799876467,9.838100791342434,15.791689068219016,57.47020319105414,69.51418243302335
Liquidity & Cash Flow,DIO,97.88352841884303,1.8139462649479734,180.14068492544018,60.0868109199817,15.873697916666666,-0.0,0.0,130.2886336303393,147.74552009180502
Liquidity & Cash Flow,DPO,96.38391415440188,15.007571051405497,89.58146810471425,39.46634760618327,32.983072916666664,-661.3003949528108,8.964100419566151,50.86814062480955,94.16763873213239
Liquidity & Cash Flow,CCC,64.95575774755207,1.3367817954682994,245.7738989887436,63.76076193293925,69.46258299876467,671.1384957441533,6.827588648652865,136.8906961965839,123.09206379269597
Liquidity & Cash Flow,OCF,129767000,1325000000,913119000,26576000,321000000,84200000,66657000,153177000,277039000
Liquidity & Cash Flow,CapEx,-45568000,-809000000,-176436000,-36059000,-318000000,-83211000,-7872000,-9986000,-688721000
Liquidity & Cash Flow,FCF,119286999,520000000,736683000,-9483000,3000000,989000,58785000,142798000,-411682000
BQR,Total Debt / Adj Ebitda,4.3726490283990564,8.211970074812967,1.2957117384073191,21.334813802528185,14.337349397590362,9.063651591289782,4.924485557862941,4.796651833775928,5.517057800420779
BQR,Adj Ebitda / Interest Expense,1.9722388064954353,1.3923611111111112,5.448419001978618,0.8043860613389029,1.4954954954954955,3.2264644351464433,20.55756791720569,2.2733372764169606,3.224969411914258
BQR,Net Income before extraordinary,-45656000,-502000000,463582164,-68677000,-155000000,12691000,-1909000,28519000,122631000
BQR,(NCO-CAPEX) / Total Debt (%),48.6810204947804,1.9738839963559065,69.10982914594983,-3.03713549089628,0.12605042016806722,0.29479972099844404,75.11980065171555,26.70848810632671,-18.383166231366527
BQR,Score: Operating Leverage,55,75,35,75,75,75,58,58,65
BQR,Score: ICR,65,75,48,75,75,58,25,65,58
BQR,Score: Net Income,75,75,35,75,75,55,65,48,42
BQR,Score: FCF/Debt,25,75,15,75,75,75,15,42,75
BQR,BQR,54.0,75.0,31.95,75.0,75.0,67.45,44.05,52.55,60.7
