Category,Metric,DK,MPC,PBF
Header,Fiscal Period,2025-0.0,2025-0.0,2025-0.0
Header,Statement Date,12/31/2025,12/31/2025,12/31/2025
Header,Filing Date,0,0,0
Revenue & Margin,Segment-1,Refining,Refining And Marketing,Prior to elimination
Revenue & Margin,Segment-1 %,91.20%,93.60%,50.00%
Revenue & Margin,Segment-2,Logistics,Midstream,Refining Group
Revenue & Margin,Segment-2 %,8.80%,4.20%,49.40%
Revenue & Margin,Segment-3,Retail Segment,Renewable Diesel,Logistics Group
Revenue & Margin,Segment-3 %,4.80%,2.10%,0.60%
Revenue & Margin,Others,-,-,-
Revenue & Margin,Others %,-,-,-
Revenue & Margin,Revenue Total," 10,722,900,000 "," 132,699,000,000 "," 29,332,300,000 "
Revenue & Margin,Rev-CoGS / Sale (%),661%,754%,-195%
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),430%,501%,-308%
Revenue & Margin,Op. Income / Rev (%),316%,435%,-19%
Revenue & Margin,Net Profit / Rev (%),-21%,305%,-54%
EBITDA,Net Income," (22,800,000)"," 4,047,000,000 "," (158,500,000)"
EBITDA,D & A," 397,800,000 "," 858,000,000 "," 662,800,000 "
EBITDA,Net Int Inc," (345,300,000)"," (1,249,000,000)"," (181,600,000)"
EBITDA,Tax Provision," (6,800,000)"," 1,137,000,000 "," (74,100,000)"
EBITDA,EBITDA," 713,500,000 "," 7,291,000,000 "," 611,800,000 "
EBITDA,Stock-Based Comp," 21,100,000 ", -   ," 39,000,000 "
EBITDA,Others Adj.,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD
Capital Structure,Stock Price,29.66,162.63,27.12
Capital Structure,O/S Shares," 60,030,006 "," 299,000,000 "," 116,657,218 "
Capital Structure,Market Capitalization," 1,780,489,977 "," 48,626,370,000 "," 3,163,743,752 "
Capital Structure,Cash," 625,800,000 "," 3,672,000,000 "," 527,900,000 "
Capital Structure,Debt," 3,352,500,000 "," 34,358,000,000 "," 2,901,500,000 "
Capital Structure,Enterprise Value," 4,507,189,977 "," 79,312,370,000 "," 5,537,343,752 "
Capital Structure,netCommonStockIssuance," (20,000,000)"," (1,001,000,000)"," 6,000,000 "
Capital Structure,netDebtIssuance," 52,899,999 "," (25,000,000)"," (252,800,000)"
Liquidity & Cash Flow,DSO, 23.2 , 30.3 , 15.1 
Liquidity & Cash Flow,DIO, 29.2 , 30.2 , 33.5 
Liquidity & Cash Flow,DPO, 64.9 , 39.8 , 10.5 
Liquidity & Cash Flow,CCC, (12.50), 20.62 , 38.13 
Liquidity & Cash Flow,OCF," 539,400,000 "," 8,253,000,000 "," (78,000,000)"
Liquidity & Cash Flow,CapEx," (533,000,000)"," (3,486,000,000)"," (438,100,000)"
Liquidity & Cash Flow,FCF," 2,800,000 "," 4,767,000,000 "," (783,200,000)"
BQR,Total Debt / Adj Ebitda, 4.70 , 4.71 , 4.74 
BQR,Adj Ebitda / Interest Expense, 2.07 , 5.84 , 3.37 
BQR,Net Income before extraordinary," $(22,800,000)"," $4,047,000,000 "," $(158,500,000)"
BQR,(NCO-CAPEX) / Total Debt (%), 0.08 , 13.87 , (26.99)
BQR,Score: Operating Leverage,55,55,55
BQR,Score: ICR,65,48,58
BQR,Score: Net Income,75,15,75
BQR,Score: FCF/Debt,75,55,75
BQR,BQR,66.5,43.95,65.45
