Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,Spunlace,-,-,-,Composite Fibers,-,-,-,Spunlace,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,2290.6%,-,-,-,991.4%,-,-,-,203.6%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Capital Structure,netCommonStockIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capital Structure,netDebtIssuance,0.0,0.0,0.0,0.0,0.0,888000.0,-3892000.0,21053000.0,-11936000.0,504000.0,359000.0,20475000.0,-5197000.0,25046000.0,24076000.0,24307000.0,325783000.0,-6146000.0,170903000.0,6740000.0
Liquidity & Cash Flow,DSO,57.730722525804495,57.13093008739076,56.055682100892774,54.97148171648204,54.31269295599716,48.9538725326196,48.726308375962695,48.51621109965502,47.80944247486135,47.59697023078628,47.72925816532694,48.72203942725562,50.09716939824022,49.858476790813576,50.32438979726465,50.35066063459286,49.6239253891647,51.04390984970063,52.48341426097304,51.15238685005805
Liquidity & Cash Flow,DIO,0.0,0.0,96.3465503000472,95.79201083219436,94.98165458285331,94.72348010559818,94.7458754335696,91.81764175612213,89.81101340350234,87.70285326390552,85.7475289740416,86.05542850034807,83.5476861121291,83.6643841507374,83.14677353506936,84.75899302367105,90.93631667692637,93.30052477987658,97.66114634793486,99.5511071585702
Liquidity & Cash Flow,DPO,0.0,0.0,386.5487450273077,158.0236169002606,80.21272491314168,46.78348871767165,47.65452959045177,46.17290887141943,48.88682161439155,51.47127800888702,53.04084227978875,56.74595336241282,57.36399218933888,58.625210527643624,58.234729871324966,57.358107135569256,58.120215186146716,54.56544560765679,54.945765474370475,56.52684329695565
Liquidity & Cash Flow,CCC,57.730722525804495,57.13093008739076,-234.14651262636772,-7.26012435158421,69.08162262570879,96.89386392054612,95.81765421908051,94.16094398435771,88.73363426397214,83.82854548580477,80.43594485957978,78.03151456519089,76.28086332103044,74.89765041390737,75.23643346100906,77.75154652269465,82.44002687994436,89.77898902192044,95.19879513453743,94.1766507116726
Liquidity & Cash Flow,OCF,2000000.0,-58000000.0,-45845000.0,-32912000.0,-66397000.0,7942000.0,6853000.0,-28469000.0,-25616000.0,-18422000.0,-14306000.0,109258000.0,73651000.0,82598000.0,104548000.0,10784000.0,70977000.0,122951000.0,111270000.0,108550000.0
Liquidity & Cash Flow,CapEx,-15000000.0,-16000000.0,-24523000.0,-30213000.0,-37695000.0,-30236000.0,-29484000.0,-31752000.0,-33770000.0,-32885000.0,-32501000.0,-34891000.0,-37740000.0,-41602000.0,-41523000.0,-37007000.0,-30037000.0,-26490000.0,-27336000.0,-26501000.0
Liquidity & Cash Flow,FCF,-13000000.0,-74000000.0,-70368000.0,-63125000.0,-104092000.0,-22294000.0,-22631000.0,-60221000.0,-59386000.0,-51307000.0,-46807000.0,74367000.0,35911000.0,40996000.0,63025000.0,-26223000.0,40940000.0,96461000.0,83934000.0,82049000.0
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,999.0,53.84776933976209,12.314981995102006,12.78965485363196,17.760663651299108,15.774352898286548,20.29095696731034,166.06887264332437,31.849380194393575,999.0,999.0,999.0,999.0,6.891509846827134,3.4384975407945353,3.975687304379423,2.662124867651398
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,0.7164117215979556,1.0239383852590604,0.9822601221149266,0.721289171079966,0.8673106413925031,0.7615210911390118,0.11215880893300248,0.7617565791238565,-999.0,-999.0,-999.0,-999.0,9.303745928338762,25.299887048192772,37.007640586797066,76.25810721376571
BQR,Net Income before extraordinary,-133000000.0,-159000000.0,-134247000.0,-132526000.0,-117873000.0,-66539000.0,-71155000.0,-91816000.0,-78651000.0,-104098000.0,-133489000.0,-98601000.0,-193709000.0,-169989000.0,-113208000.0,-109746000.0,6938000.0,17331000.0,9804000.0,8394000.0
BQR,(NCO-CAPEX) / Total Debt (%),-0.6582278481012658,-12.312811980033278,-3.4376160234489497,-3.07476863127131,-5.070238675109596,-2.5117452878018005,-2.600260129421281,-6.877259739577505,-6.862410891849948,-5.998398307115842,-5.422334359715764,8.222845106397093,4.249274353959075,5.006631380719413,7.764061235375785,-3.2404998844576367,5.199687561519264,20.874034320832703,17.434962152999926,26.748189055440005
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,48,52,45
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,45,25,15,15
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,55,52,55,55
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,58,75,75,58,75,75,45,48,42
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,70.75,75.0,75.0,70.75,75.0,65.5,44.8,46.2,42.25
