Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2025.0-Q4,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-12-12,2025-11-07,2025-08-11,2025-05-02,2025-02-21,2024-11-01,2024-08-02,2024-05-03,2024-02-16,2023-11-03,2023-08-04,2023-05-04,2023-02-16,2022-11-03,2022-08-04,2022-05-06,2022-02-17,2021-11-04
Revenue & Margin,Segment-1,-,-,-,-,Service,-,-,-,Service,-,-,-,U S Cellular Segment,-,-,-,U S Cellular Segment,-
Revenue & Margin,Segment-1 %,-,-,-,-,8279.6%,-,-,-,8079.5%,-,-,-,7701.8%,-,-,-,7735.0%,-
Revenue & Margin,Segment-2,-,-,-,-,Product,-,-,-,Product,-,-,-,T D S Telecom Segment,-,-,-,T D S Telecom Segment,-
Revenue & Margin,Segment-2 %,-,-,-,-,1720.4%,-,-,-,1920.5%,-,-,-,1884.4%,-,-,-,1887.8%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,Other Segment,-,-,-,Other Segment,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,413.8%,-,-,-,377.2%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2648521000.0,3888521000.0,4804000000.0,4856000000.0,4964000000.0,5036000000.0,5090000000.0,5119000000.0,5160000000.0,5205000000.0,5319000000.0,5401000000.0,5413000000.0,5428000000.0,5364000000.0,5326000000.0,5329000000.0,3957000000.0
Revenue & Margin,Rev-CoGS / Sale (%),55.26484403937141,55.026088325098414,57.7435470441299,57.55766062602965,57.010475423045925,56.77124702144559,56.2278978388998,55.596796249267435,54.76744186046511,54.10182516810759,52.52867080278247,52.286613590075916,52.614077221503784,52.59764185703758,53.784489187173754,53.830266616597825,53.63107524863951,54.48572150619157
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),39.21815231972863,32.52395962372326,30.745212323064113,22.075782537067546,22.320709105560034,22.676727561556792,22.29862475442043,30.181676108614962,29.26356589147287,28.376560999039384,26.79075014100395,26.939455656359932,27.858858304082762,28.334561532792925,29.847129008202835,29.722117912129175,29.949333833739917,33.83876674248168
Revenue & Margin,Op. Income / Rev (%),2.619952796296499,1.106487530863277,0.6452955870108243,0.6177924217462932,1.248992747784045,-9.888800635424941,-7.269155206286837,-7.345184606368431,-8.023255813953488,1.633045148895293,0.48881368678322995,1.036845028698389,2.2538333641234067,3.1503316138540898,4.679343773303505,4.618850920015021,4.8977294051416775,5.9893858984078845
