Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2025-11-05,2025-08-07,2025-05-08,2025-03-06,2024-11-08,2024-08-08,2024-05-09,2024-04-26,2023-11-14,2023-08-14,2023-05-12,2023-04-14,2022-11-14,2022-08-12,2022-03-31,2021-12-31
Revenue & Margin,Segment-1,-,-,-,Home Health Segment,-,-,-,Home Health Segment,-,-,-,Home Health Segment,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Liquidity & Cash Flow,DPO,5.640847677216361,6.14346325997762,5.651899326347305,5.696860124496522,5.761771603824644,5.098589651455264,4.622760991496291,4.232468249585864,3.647273066865895,3.2143526325651113,2.7970671712393567,2.256944444444444,2.2251824116743473,1.6329132191649027,1.1428227360308285,0.6214730492313679
Liquidity & Cash Flow,CCC,48.11809964097414,48.326930842932384,49.771669403673044,50.77443867720429,51.94250433138554,54.06195838578439,53.17356902000237,52.2373539811319,52.36602784846592,51.21425937273691,51.60577207916087,52.300519844604196,51.97265450373936,39.067443825603014,26.189444915265998,12.943161868534764
Liquidity & Cash Flow,OCF,62200000,52800000,51800000,51200000,56100000,34000000,34000000,46300000,49600000,44300000,68300000,80100000,99100000,104700000,144300000,123300000
Liquidity & Cash Flow,CapEx,-4400000,-3500000,-2300000,-3800000,-3100000,-4300000,-4700000,-3500000,-5400000,-4300000,-5900000,-7600000,-7500000,-8500000,-8000000,-6600000
Liquidity & Cash Flow,FCF,57800000,49300000,49500000,47400000,52500000,29200000,28800000,42300000,44200000,40000000,62900000,73000000,93400000,99000000,139600000,120000000
BQR,Total Debt / Adj Ebitda,8.99825799648533,999.0,999.0,999.0,999.0,8.995433789954339,999.0,999.0,999.0,999.0,70.25001596591272,20.431373884403524,4.041721881071006,3.773227406926818,0.30016583747927034,0.31025081788440567
BQR,Adj Ebitda / Interest Expense,1.5726027123287671,-999.0,-999.0,-999.0,-999.0,1.4535398230088497,-999.0,-999.0,-999.0,-999.0,0.3591835918367347,2.0399998666666668,23.59374984375,545.33333,904.5,611.3333333333334
BQR,Net Income before extraordinary,-11900000,-133200000,-138600000,-156200000,-116600000,-8800000,-83000000,-80500000,-169300000,-158300000,-63800000,-40400000,84100000,97100000,109300000,111100000
BQR,(NCO-CAPEX) / Total Debt (%),11.190706679574056,9.253003003003004,9.105960264900663,8.323090430201932,9.036144578313253,4.94077834179357,4.7485572959604285,6.933289624651697,7.150946448794693,6.546644844517185,10.174700744095762,11.676263595649392,15.30394887760118,16.037583022841407,257.0902394106814,210.896309314587
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,52,52,15,15
BQR,Score: ICR,65,75,75,75,75,75,75,75,75,75,75,65,25,15,15,15
BQR,Score: Net Income,65,75,75,75,75,65,75,75,75,75,75,75,42,42,42,42
BQR,Score: FCF/Debt,58,58,58,58,58,75,75,65,58,65,58,58,52,52,15,15
BQR,BQR,66.75,70.75,70.75,70.75,70.75,72.5,75.0,72.5,70.75,72.5,70.75,69.25,45.45,43.95,21.75,21.75
