Category,Metric,AGL,AMCX,BA,CLGX,CLR,CNDT,CRBG,CUDA,DAL,EBS,EHAB,FTRE,FUN,HBI,HE,HGV,HNGR,HPK,IART,IFF,IRWD,MAR,MPC,MPW,MXL,NFE,NWL,PSXP,QVCC,QVCD,SLAB,SMG,SNAP,TDS,VFC,VLO,WDC,WH
Revenue & Margin,Others %,-,924.3%,29.8%,1931.6%,-,536.4%,-,664.0%,-,-,-,-,-,-,217.9%,2770.4%,-,-,-,844.2%,31.8%,1182.9%,-,-,792.6%,-,2859.7%,751.2%,2473.0%,2473.0%,-,-,-,-,-,-,-,2058.5%
Revenue & Margin,Revenue Total,5885571000,2311801000,89463000000,1804618000,7137020000,3042000000,2889000000,372510000,63364000000,788900000,1047800000,2759900000,3100289000.0,3439885000.0,2768021000,4998000000,1175519000.0,881516000,1642966000,10890000000,338987000,26186000000,132971000000,972022000.0,467641000,1778593000,7204000000,1146000000,8531000000,8531000000,784764000,3350800000,5931447000,2648521000.0,9582944000.0,124045000000.0,10734000000,1429000000.0
Revenue & Margin,Rev-CoGS / Sale (%),-1.9545427283096237,49.516935064912595,4.827694130534411,61.80731877882189,92.92680978895955,18.14595660749507,80.89304257528556,74.99744973289307,24.52970140773941,57.802002788693116,48.43481580454285,17.18902858799232,57.690008899170365,42.00056106526817,8.32930819527742,40.41616646658663,67.01176246406905,31.48099410560897,53.497394346565905,34.93112947658402,91.90765427582768,21.33582830520125,7.726496754931526,55.66530387172307,56.51365042842693,31.269829578773784,33.75902276513048,87.69633507853402,78.70120736138789,78.70120736138789,58.23190156531135,30.980661334606662,54.970835784252984,55.26484403937141,53.81690637031793,5.442379781530896,42.7240544065586,58.85234429671099
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-5.932032762836435,14.118516256373278,-1.9728826442216334,20.63079277719717,89.83888233464387,14.990138067061142,10.349601938386984,24.967651875117447,19.05024935294489,32.91925465838509,7.797289559076159,-0.9819196347693756,43.86194319303781,13.054651536315895,8.32930819527742,26.190476190476193,29.366858383403414,28.172716093638684,10.346592686641111,18.56749311294766,70.58146772590099,17.65065302069808,5.2079024749757465,70.05952540168843,22.716998723379685,16.405439580612317,6.246529705719045,81.50087260034904,109.63544719259173,109.63544719259173,36.02420600333349,14.921809717082487,21.46922985234463,39.21815231972863,5.600064030427393,4.592688137369503,38.08459101919136,10.776766969909026
Revenue & Margin,Op. Income / Rev (%),-6.344652031213284,10.591093264515415,-6.0080703754624825,20.63079277719717,40.434761286923674,4.174884944115713,-18.72620283835237,3.9743899492631067,9.188182564232056,15.020915198377487,0.7825920977285742,-21.830501105112504,-43.72979422240959,13.054651536315895,8.32930819527742,11.024409763905563,5.8112204056250905,27.239097191656192,-27.526619540513924,-2.8833792470156103,36.34003663857316,15.813793630184067,4.945439231110543,38.13339615770013,-21.84731449979792,-15.693640984755927,6.2048861743475845,58.37696335078534,-38.79967178525378,-39.92497948657836,-8.988817020148733,11.746448609287334,-8.971959118913142,2.619952796296499,4.614218762000488,2.564391954532629,29.76523197316937,28.411476557032888
Revenue & Margin,Net Profit / Rev (%),-5.237469737430744,3.867114859799784,2.4982394956574225,17.793183931446986,16.582817478443385,-5.588428665351743,-12.668743509865005,4.088480846151781,7.9003850766997035,9.620991253644315,-1.1357129223134186,-36.7730714880974,-50.77855645070508,9.593663741665782,0.6195039705262352,1.7607042817126852,3.17247105321139,6.030179826571498,-30.14882839937041,-3.1955922865013773,8.421856885367285,9.93278851294585,3.043520767686187,-20.442027032309966,-29.227762321952095,-71.82289596326984,-3.9561354802887285,65.27050610820244,-39.737428203024265,-40.49935529246279,-8.270894179651462,2.6799570251880147,-7.763518750146465,-0.014574171773604967,2.3313712362297014,1.8928614615663668,35.448108813117194,13.50594821553534
EBITDA,Net Income,-308255000,89400000,2235000000,321099000,1183519000,-170000000,-366000000,15230000,5006000000,75900000,-11900000,-1014900000,-1574282000.0,330011000.0,17148000,88000000,37293000.0,53157000,-495335000,-348000000,28549000,2601000000,4047000000,-198701000.0,-136681000,-1277437000,-285000000,748000000,-3390000000,-3455000000,-64907000,89800000,-460489000,-386000.0,223414000.0,2348000000.0,3805000000,193000000.0
EBITDA,D & A,28119000,522090000,1953000000,187242000,3946935000,195000000,556000000,16705000,2443000000,98300000,25400000,79500000,365011000.0,41697000.0,262528999,283000000,30707000.0,419838000,150991000,1048000000,1906000,599000000,30000000,203145000.0,40231000,119169000,231000000,141000000,-324000000,-324000000,29843000,90900000,163633000,563746000.0,383776000.0,2341000000.0,376000000,46000000.0
EBITDA,Net Int Inc,-6499000,-316311000,-2771000000,0,-193839000,-48000000,2337000000,0,-679000000,-59400000,-36500000,-90000000,-359958000.0,-184361000.0,-77927000,-314000000,-29281000.0,-144877000,-66620000,-229000000,-30379000,-767000000,-1255000000,-490839000.0,-6671000,-736459000,-321000000,-128000000,-249000000,-380000000,12629000,-122400000,45159000,-150615000.0,-151032000.0,-556000000.0,309000000,-139000000.0
EBITDA,Tax Provision,1684000,46226000,397000000,48107000,364500000,10000000,-151000000,9396000,1178000000,30000000,7399999,5300000,-87894001.0,-195893000.0,38476000,29000000,1571000.0,17901000,-49936000,-36000000,65016000,793000000,1137000000,-38618000.0,-4213000,77447000,-16000000,88000000,140000000,140000000,6995000,87300000,17710000,-38836000.0,164002000.0,759000000.0,-328000000,72000000.0
EBITDA,EBITDA,-271953000,974027000,7356000000,556448000,5688793000,83000000,-2298000000,41331000,9306000000,263600000,57399999,-840100000,-937207001.0,360176000.0,396079999,714000000,98852000.0,635773000,-327660000,893000000,125850000,4760000000,6469000000,456665000.0,-93992000,-344362000,251000000,1105000000,-3325000000,-3259000000,-40698000,390400000,-324305000,675139000.0,922224000.0,6004000000.0,3544000000,450000000.0
EBITDA,Stock-Based Comp,41881000,19303000,426000000,0,-91674000,19000000,0,33998000,0,15200000,13700000,59600000,40962000.0,0.0,-600000,40000000,0.0,1817000,19897000,84000000,13427000,236000000,0,30864000.0,32706000,18356000,46000000,0,12000000,12000000,59645000,60900000,1016825000,44000000.0,78614000.0,0.0,210000000,0.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,1.03,9.52,217.12,79.25,74.27,1.92,30.17,27.65,69.4,8.82,8.01,8.42,15.34,6.59,11.04,41.81,14.32,7.07,14.33,67.39,1.31,310.24,162.63,5.0,17.43,2.21,3.72,36.07,10.1,10.1,131.93,57.93,8.07,41.0,18.5,162.79,187.7,75.56
Capital Structure,O/S Shares,414465000,43870000,768083097,73228000,361521000,140986478,510600000,53378000,649000000,53200000,50700000,91200000,101476000.0,354183000.0,172617000,95500000,39250735.0,124807000,76753000,256000000,162215000,268500000,299000000,600966000.0,87243000,281121646,419200000,230252101,0,0,32920000,57900000,1710465000,115000000.0,390915000.0,303000000.0,345000000,75700000.0
Capital Structure,Market Capitalization,426898950,417642400,166766202020,5803319000,26850164670,270694037,15404802000,1475901700,45040600000,469224000,406107000,767904000,1556641840.0,2334065970.0,1905691679,3992855000,562070525.0,882385490,1099870490,17251840000,212501650,83299440000,48626370000,3004830000.0,1520645490,621278837,1559424000,8305193283,0,0,4343135600,3354147000,13803452550,4715000000.0,7231927500.0,49325370000.0,64756499999,5719892000.0
Capital Structure,Cash,171684000,502379000,10921000000,227102000,1102907000,233000000,447000000.0,96894000.0,4310000000,245500000,56900000.0,131300000.0,91134000.0,217573000.0,1027210000,215000000,24380000.0,164913000,232186000,590000000,140407000,358000000,0,0.0,74225000,145237000,203000000,62000000,1328000000,1328000000,364222000,8300000,1030435000,144968000.0,1466469000.0,4688000000.0,1975000000,64000000.0
Capital Structure,Debt,37121000,1852199000,54098000000,1772215000,9996000,789000000,10906000000.0,0.0,21083000000,663100000,516500000.0,1187300000.0,0.0,2665372000.0,2994077000,7282000000,628214000.0,30000000,2005860000,5994000000,598240000,17083000000,0,0.0,157340000,9307086000,5652000000,3897000000,467000000,467000000,0,2528500000,4700954000,0.0,5338701000.0,10619000000.0,4655000000,3057000000.0
Capital Structure,Enterprise Value,292335950,1767462400,209943202020,7348432000,25757253670,826694037,25863802000,1379007700,61813600000,886824000,865707000,1823904000,1465507840.0,4781864970.0,3872558679,11059855000,1165904525.0,747472490,2873544490,22655840000,670334650,100024440000,48626370000,3004830000.0,1603760490,9783127837,6895424000,12140193283,-861000000,-861000000,3978913600,5874347000,17473971550,4570032000.0,11104159500.0,55256370000.0,67436499999,8712892000.0
Capital Structure,netCommonStockIssuance,-236000,-7640000,0,0,0,-7000000,-1106000000,1353000,0,-8700000,0,0,0.0,0.0,0,-141000000,0.0,-3849000,0,-38000000,0,-1000000000,0,0.0,-18609000,0,0,0,0,0,6491000,-7600000,-249919000,0.0,704000.0,0.0,-615000000,0.0
Capital Structure,netDebtIssuance,0,-169583000,-2873000000,0,0,-28000000,-112000000,0,-895000000,-6900000,-15600000,-50000000,0.0,-26839000.0,-63667000,106000000,0.0,150000000,-9971000,-56000000,0,205000000,0,0.0,0,0,-107000000,0,0,0,0,413900000,0,0.0,-284000.0,0.0,-32000000,0.0
Liquidity & Cash Flow,DSO,65.90702329476613,92.16557837374411,50.31433385869018,60.34909188537408,76.7678460337788,78.32141683103222,82.46928002769124,40.74711417143164,19.972638248847925,67.95458866776524,53.7589473181905,93.4156128845248,19.053225360603477,44.04108313213959,60.50076345157786,248.9018107242897,47.08059057318512,29.975727893764834,59.50994953638724,64.39451331496787,88.3452315280527,41.43989154510044,23.14618413037429,284.9612920283697,59.279786738117494,101.44319765679951,49.43763881177124,34.71640488656195,37.789971867307464,37.789971867307464,27.951012979698355,47.76001253432017,76.03958212051798,72.7905314890839,55.22917813669787,24.01358378007981,50.96364356251165,77.52099370188944
Liquidity & Cash Flow,DIO,0.0,0.0,368.70598632904256,0.0,146.6801972009548,0.0,0.0,26.520569161557706,11.744709437276512,361.98483027936317,0.0,0.0,18.691776407070957,173.63251611186126,0.0,288.12080255204836,80.83320761869396,5.497153587878266,218.41336538738412,121.65378916172735,0.0,0.0,22.625644881292942,0.0,150.97755827104643,26.36495954778597,111.65313285834031,62.77482269503546,-128.70114006514657,-128.70114006514657,95.21506737730374,108.78032170190686,0.0,24.340033641186004,150.04071502813116,23.05792116345285,79.31685100845803,0.0
Liquidity & Cash Flow,DPO,58.53069510301208,30.093231499792644,50.4916523771493,100.89819356907398,621.2635272327486,20.448795180722893,0.0,42.04650139042486,38.392128980991615,65.81293181135477,5.640847677216361,15.590953839422445,28.338774612497065,106.86008481219619,30.956754460358848,116.52913028878442,59.041197009667776,37.67771760545425,42.869305465025874,50.95628704487722,36.44411636045494,14.011541822418563,30.178682037865638,0.0,51.39632916994493,174.7040045237764,72.05155071248953,231.0372340425532,-108.0223359702187,-108.0223359702187,60.78415161342482,46.20697669390755,23.907642650842014,48.98181580324437,83.12706549246447,26.584051540415665,82.86414281067013,16.139455782312925
Liquidity & Cash Flow,CCC,7.376328191754055,62.07234687395147,368.52866781058344,-40.5491016836999,-397.815483998015,57.87262165030933,82.46928002769124,25.221181942564492,-6.674781294867177,364.12648713577363,48.11809964097414,77.82465904510236,9.406227155177373,110.81351443180466,29.544008991219012,420.4934829875536,68.8726011822113,-2.2048361238111482,235.0540094587455,135.09201543181797,51.90111516759775,27.428349722681872,15.593146973801598,284.9612920283697,158.86101583921902,-46.89584731919092,89.03922095762204,-133.54600646095577,17.111167772379588,17.111167772379588,62.381928743577284,110.33335754231946,52.13193946967596,48.14874932702553,122.14282767236456,20.487453403116994,47.416351760299534,61.381537919576516
Liquidity & Cash Flow,OCF,-68807000,303339000,1065000000,612200000,6477380000,-73000000,2021000000,72407000,8342000000,13000000,62200000,1500000,365140000.0,23159000.0,421238000,238000000,76470000.0,558022000,89308000,850000000,67683000,3212000000,5184000000,70703000.0,19619000,-134645000,264000000,1153000000,-172000000,-172000000,95708000,446200000,656170000,572313000.0,-534619000.0,3769000000.0,2671000000,215000000.0
Liquidity & Cash Flow,CapEx,-29581999,-33303000,-2942000000,-96380000,0,-59000000,0,-11215000,-4501000000,-11600000,-4400000,-14500000,-408075000.0,-31352000.0,-341056000,-161000000,-20324000.0,-516449000,-93822000,-487000000,-35000,-663000000,-2305000000,0.0,-19817000,-1598413000,-247000000,-311000000,30000000,30000000,-33922000,-88100000,-218981000,-262234000.0,-112714000.0,-177000000.0,-365000000,-30000000.0
Liquidity & Cash Flow,FCF,-98538000,270036000,-1877000000,515820000,6477380000,-147000000,2021000000,61192000,3841000000,1400000,57800000,-13000000,-42935000.0,-8193000.0,80182000,113000000,56146000.0,41573000,-14467000,256000000,67648000,2898000000,2879000000,70703000.0,7021000,-1733058000,17000000,842000000,-142000000,-142000000,65786000,358099999,437189000,306254000.0,-665697000.0,3592000000.0,2306000000,185000000.0
BQR,Total Debt / Adj Ebitda,999,1.9015889703262845,7.354268624252311,3.1848708235091148,0.0017571389924013758,9.506024096385541,999.0,0.0,2.2655276165914464,2.515553869499241,8.99825799648533,999.0,999.0,7.400193238861001,7.559273398200549,10.198879551820728,6.355096507910816,0.04718665309788242,999.0,6.712206047032475,4.753595550258244,3.5888655462184875,0.0,0.0,999.0,999.0,22.51792828685259,3.5266968325791854,999.0,999.0,999.0,6.476690573770492,999,0.0,5.7889417321605166,1.7686542305129913,1.3134875846501128,6.793333333333333
BQR,Adj Ebitda / Interest Expense,-999,3.07933331436466,2.654637315048719,-999,29.34803109797306,1.7291666666666667,-999,-999,13.705449189985272,4.437710437710438,1.5726027123287671,-999.0,-999.0,1.9536452937443385,5.082705596263169,2.2738853503184715,3.375977596393566,4.388363922499775,-999.0,3.8995633187772927,4.142664340498371,6.2059973924380705,5.154581673306773,0.9303763555870662,-999.0,-999.0,0.7819314641744548,8.6328125,-999.0,-999.0,-999.0,3.189542483660131,-999,4.482548218968894,6.106149690131892,10.798561151079136,-999.0,3.237410071942446
BQR,Net Income before extraordinary,-308255000,89400000,2235000000,321099000,1183519000,-170000000,-366000000,15230000,5006000000,75900000,-11900000,-1014900000,-1574282000.0,330011000.0,17148000,88000000,37293000.0,53157000,-495335000,-348000000,28549000,2601000000,4047000000,-198701000.0,-136681000,-1277437000,-285000000,748000000,-3390000000,-3455000000,-64907000,89800000,-460489000,-386000.0,223414000.0,2348000000.0,3805000000,193000000.0
BQR,(NCO-CAPEX) / Total Debt (%),-265.45082298429463,14.579210981109481,-3.469629191467337,29.105949334589766,64799.71988795518,-18.631178707224336,18.531083807078673,999.0,18.218469857230943,0.2111295430553461,11.190706679574056,-1.0949212498947192,999.0,-0.30738673626045443,2.6780206387477676,1.5517714913485305,8.93740031263232,138.57666666666665,-0.7212367762456003,4.270937604270937,11.307836319871624,16.96423344845753,999.0,999.0,4.462310919028854,-18.620844375994807,0.3007784854918613,21.606363869643314,-30.406852248394003,-30.406852248394003,999.0,14.16254692505438,9.300005913693264,999.0,-12.469269209869593,33.82616065542895,49.53813104189044,6.051684658161596
BQR,Score: Operating Leverage,75,42,75,45,15,75,75,15,42,45,75,75,75,75,75,75,75,15,75,75,58,48,15,15,75,75,75,48,75,75,75,75,75,15,65,42,35,75
BQR,Score: ICR,75,58,58,75,25,65,75,75,35,55,65,75,75,65,48,65,58,55,75,58,55,48,48,75,75,75,75,45,75,75,75,58,75,55,48,42,75,58
BQR,Score: Net Income,75,42,25,35,25,75,75,52,15,42,65,75,75,35,52,42,48,45,75,75,48,25,15,75,75,75,75,35,75,75,75,42,75,65,35,25,25,42
BQR,Score: FCF/Debt,75,55,75,42,15,75,48,15,48,75,58,75,15,75,75,75,58,15,75,75,58,52,15,15,75,75,75,45,75,75,15,55,58,15,75,35,25,65
BQR,BQR,75.0,47.65,59.95,46.25,19.0,73.5,68.25,33.25,35.7,53.25,66.75,75.0,60.0,63.5,65.2,65.25,61.45,28.5,75.0,72.45,55.05,43.25,19.95,39.0,75.0,75.0,75.0,43.55,75.0,75.0,60.0,59.2,70.75,33.5,57.45,36.0,36.0,61.7
