Category,Metric,JELD,BLDR,OC,FBIN
Header,Fiscal Period,2025-Q3,2025-Q3,2025-Q3,2025-Q3
Header,Statement Date,2025-09-30,2025-09-30,2025-09-30,2025-09-30
Header,Filing Date,2025-11-06,2025-10-30,2025-11-05,2025-10-30
Revenue & Margin,Segment-1,North America Segment,Windows Doors And Millwork,Roofing,Water Innovations
Revenue & Margin,Segment-1 %,71.7%,25.8%,35.8%,55.6%
Revenue & Margin,Segment-2,Europe Segment,Lumber And Lumber Sheet Goods,Insulation,Outdoors Segment
Revenue & Margin,Segment-2 %,28.3%,25.6%,32.6%,29.3%
Revenue & Margin,Segment-3,Australasia Segment,Specialty Building Products And Services,Composites,Security Segment
Revenue & Margin,Segment-3 %,11.9%,24.7%,18.7%,15.1%
Revenue & Margin,Others,-,Manufactured Products,Doors,-
Revenue & Margin,Others %,-,24.0%,12.8%,-
Revenue & Margin,Revenue Total,3304969000,15653050000,10801000000,4489800000
Revenue & Margin,Rev-CoGS / Sale (%),16.425539846213383,30.97073733234098,29.21951671141561,45.10668626664885
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-1.4621317174230681,6.571217749895387,19.350060179613,16.414985077286293
Revenue & Margin,Op. Income / Rev (%),-7.460826410172078,6.571511622335583,10.471252661790574,12.757806583812197
Revenue & Margin,Net Profit / Rev (%),-19.59655294800042,3.7942701262693213,-4.462549763910749,7.296538821328344
EBITDA,Net Income,-647660000,593919000,-482000000,327600000
EBITDA,D & A,83494000,576578000,707000000,195200000
EBITDA,Net Int Inc,-67467000,-259247000,-253000000,-122700000
EBITDA,Tax Provision,149186000,175439000,257000000,117500000
EBITDA,EBITDA,-347513000,1605183000,735000000,763000000
EBITDA,Stock-Based Comp,10534000,59026000,73000000,24800000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,5.07,121.25,141.46,53.27
Capital Structure,O/S Shares,85338335,110547000,83446000,120000000
Capital Structure,Market Capitalization,432665358,13403823750,11804271160,6392400000
Capital Structure,Cash,108405000,296162000,294000000,223900000
Capital Structure,Debt,1370108000,5081157000,5608000000,2834100000
Capital Structure,Enterprise Value,1694368358,18188818750,17118271160,9002600000
Capital Structure,netCommonStockIssuance,0,-413957000,-220000000,3300000
Capital Structure,netDebtIssuance,-9453000,187839000,-392000000,-160000000
Liquidity & Cash Flow,DSO,47.83005415481961,39.67239787134137,49.71819738913064,45.74491068644483
Liquidity & Cash Flow,DIO,60.720327032594646,42.6203422245894,70.13538260300851,148.74868129057452
Liquidity & Cash Flow,DPO,36.71493441608046,32.592354272508985,63.152877697841724,76.80313235413455
Liquidity & Cash Flow,CCC,71.83544677133378,49.70038582342178,56.70070229429742,117.6904596228848
Liquidity & Cash Flow,OCF,-9611000,1394555000,1872000000,542700000
Liquidity & Cash Flow,CapEx,-145884000,-374203000,-764000000,37200000
Liquidity & Cash Flow,FCF,-160534000,1020352000,1108000000,455100000
BQR,Total Debt / Adj Ebitda,999.0,3.165468983910246,7.629931972789116,3.714416775884666
BQR,Adj Ebitda / Interest Expense,-999.0,6.1917129224253316,2.9051383399209487,6.218418907905461
BQR,Net Income before extraordinary,-647660000,593919000,-482000000,327600000
BQR,(NCO-CAPEX) / Total Debt (%),-11.716886552009038,20.08109570320303,19.757489300998575,16.058007833174553
BQR,Score: Operating Leverage,75,45,75,48
BQR,Score: ICR,75,48,58,48
BQR,Score: Net Income,75,35,75,35
BQR,Score: FCF/Debt,75,45,48,52
BQR,BQR,75.0,42.949999999999996,65.7,45.75
