Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2022-12-31,2022-10-31
Header,Filing Date,2025-11-06,2025-08-07,2025-05-08,2025-02-24,2024-11-07,2024-08-08,2024-05-09,2024-02-26,2023-11-09,2023-08-10,2023-05-11,2023-02-27,2022-11-10
Revenue & Margin,Segment-1,-,-,-,Drinkware,-,-,-,Drinkware,-,-,-,Drinkware,-
Revenue & Margin,Segment-1 %,-,-,-,59.8%,-,-,-,61.7%,-,-,-,59.4%,-
Revenue & Margin,Segment-2,-,-,-,Coolers And Equipment,-,-,-,Coolers And Equipment,-,-,-,Coolers And Equipment,-
Revenue & Margin,Segment-2 %,-,-,-,38.2%,-,-,-,36.0%,-,-,-,38.4%,-
Revenue & Margin,Segment-3,-,-,-,"Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,"Product and Service, Other",-
Revenue & Margin,Segment-3 %,-,-,-,2.0%,-,-,-,2.3%,-,-,-,2.2%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1831326000,1822000000,1839607000,1829873000,1803126000,1758247000,1697311000,1658713000,1586916000,1586911000,1604390000,1595222000,1590351000
Revenue & Margin,Rev-CoGS / Sale (%),57.78605229216426,58.36750823271131,58.17508848357285,58.10698338081386,58.3471704140476,58.33065547673336,57.510320736741825,56.862519314673484,50.09679151259424,48.27933009475642,48.01893554559677,47.85547089997505,53.52120380972502
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),12.043295404532017,12.943688254665203,13.113126879817266,13.409455191699097,14.47619301147008,14.40446080670122,13.914774605243235,13.59234539067337,5.265811170849623,5.6810999482642695,6.74206396200425,7.921217234967923,16.589922601991635
Revenue & Margin,Op. Income / Rev (%),12.043295404532017,12.943688254665203,13.113126879817266,13.409455191699097,14.47619301147008,14.40446080670122,13.914774605243235,13.59234539067337,5.265811170849623,5.6810999482642695,6.74206396200425,7.921217234967923,16.589922601991635
Revenue & Margin,Net Profit / Rev (%),8.753984817558425,9.725466520307355,9.59134206382124,9.601158113158673,11.154406292183685,10.664087582688895,10.320795658544604,10.241976761501236,4.004874864202012,4.1853008769868,4.649617611677958,5.6226029982033845,11.966666478029063
EBITDA,Net Income,160314000,177198000,176443000,175689000,201128000,187501000,175176000,169885000,63554000,66417000,74598000,89693000,190312000
EBITDA,D & A,52574000,50870000,49810000,48132000,47691000,46796000,46506000,46572000,45872000,44693000,42737000,39847000,37134000
EBITDA,Net Int Inc,716000,1152000,309000,660000,1163000,494000,311000,-942000,-2855000,-4065000,-4294000,-4466000,-4041000
EBITDA,Tax Provision,53366000,57459000,57385000,57159000,65622000,62729000,58635000,56061000,20857000,20125000,22663000,26484000,56586000
EBITDA,EBITDA,265538000,284375000,283329000,280320000,313278000,296532000,280006000,273460000,133138000,135300000,144292000,160490000,288073000
EBITDA,Stock-Based Comp,47109000,44711000,42366000,40719000,33902000,33012000,24184000,22462000,17496000,14353000,19820000,17799000,19018000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,34.41,30.59,33.09,38.51,40.68,38.15,38.55,51.78,48.22,38.84,40.0,41.31,28.52
Capital Structure,O/S Shares,82083333,82732000,82598000,83886000,84707000,84794000,86355000,86880000,86783000,86677000,86529000,86343000,86208000
Capital Structure,Market Capitalization,2824487488,2530771880,2733167820,3230449860,3445880760,3234891100,3328985249,4498646400,4184676260,3366534680,3461160000,3566829330,2458652160
Capital Structure,Cash,164483000,269673000,259042000,358795000,280464000,212937000,173911000,438960000,281360000,223136000,167841000,234741000,77763000
Capital Structure,Debt,222530000,176983000,183115000,172503000,178044000,176892000,174847000,176113000,159619000,156317000,155667000,164077000,168511000
Capital Structure,Enterprise Value,2882534488,2438081880,2657240820,3044157860,3343460760,3198846100,3329921249,4235799400,4062935260,3299715680,3448986000,3496165330,2549400160
Capital Structure,netCommonStockIssuance,-149924000,-22984000,0,-100000000,289000,0,-100000000,0,0,894000,-1737000,0,278000
Capital Structure,netDebtIssuance,-3658000,-9330000,-4929000,-1678000,-1770000,-2959000,-1641000,-1605000,-1398000,-526000,-6335000,-5958000,-6143000
Liquidity & Cash Flow,DSO,27.990925018265454,27.4451653402854,26.95704028088608,26.49241163184549,25.649781961992673,25.48568972391251,24.92485687655356,24.802454523476936,24.985710491292544,23.03084813830139,20.655764028696264,20.054302003106777,21.84186305413082
Liquidity & Cash Flow,DIO,154.23637260291693,162.75324997627033,164.7429829714562,169.3262915330118,176.12753028081906,176.95400771173138,172.639136168124,171.84615150790955,159.2097154138918,164.52151722608653,180.30206695852053,188.0138049532291,205.09165104115934
Liquidity & Cash Flow,DPO,70.24494227597582,71.762608695079,73.46570571889775,73.92058358520667,79.32455166279877,85.16708182624718,82.5023329755873,78.38098352682708,65.10752637254679,56.56356874900245,62.30376454323191,69.67328758230437,84.64008571706874
Liquidity & Cash Flow,CCC,111.98235534520656,118.43580662147673,118.23431753344452,121.89811957965064,122.45276058001295,117.27261560939671,115.06166006909025,118.26762250455941,119.08789953263754,130.98879661538547,138.6540664439849,138.39481937403153,142.2934283782214
Liquidity & Cash Flow,OCF,307419000,289999000,284764000,261386000,206979000,209447000,226132000,283118000,285054000,201415000,142762000,100894000,1106000
Liquidity & Cash Flow,CapEx,-80590000,-45046000,-44996000,-46739000,-47937000,-47240000,-54918000,-54356000,-56103000,-50780000,-45463000,-48050000,-52462000
Liquidity & Cash Flow,FCF,231246000,215950000,200718000,171009000,149314000,135141000,151270000,220015000,217147000,153383000,93996000,46105000,-52152000
BQR,Total Debt / Adj Ebitda,0.838034480940581,0.6223578021978022,0.6462981198535978,0.615378852739726,0.5683258958496926,0.5965359556472826,0.624440190567345,0.6440174065676881,1.1988988868692634,1.1553362897265336,1.0788331993457712,1.022350302199514,0.584959367937988
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,290.29723991507433,46.633274956217164,33.284132841328415,33.60316721006055,35.935960591133004,71.28755258599357
BQR,Net Income before extraordinary,160314000,177198000,176443000,175689000,201128000,187501000,175176000,169885000,63554000,66417000,74598000,89693000,190312000
BQR,(NCO-CAPEX) / Total Debt (%),103.91677526625624,122.01736889983783,109.6130846735658,99.13392810559816,83.86353934982364,76.39746285869344,86.51563938757886,124.92831307172099,136.0408222078825,98.1230448383733,60.3827400797857,28.09961176764568,-30.948721448451437
BQR,Score: Operating Leverage,25,25,25,25,25,25,25,25,35,35,35,35,25
