Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Header,Filing Date,2025-10-30,2025-07-31,2025-05-01,2025-02-20,2024-11-05,2024-08-06,2024-05-07,2024-02-22,2023-11-01,2023-08-02,2023-05-03,2023-02-28,2022-11-08
Revenue & Margin,Segment-1,-,-,-,Windows Doors And Millwork,-,-,-,Manufactured Products,-,-,-,Lumber And Lumber Sheet Goods,-
Revenue & Margin,Segment-1 %,-,-,-,25.8%,-,-,-,27.5%,-,-,-,35.6%,-
Revenue & Margin,Segment-2,-,-,-,Lumber And Lumber Sheet Goods,-,-,-,Windows Doors And Millwork,-,-,-,Manufactured Products,-
Revenue & Margin,Segment-2 %,-,-,-,25.6%,-,-,-,25.1%,-,-,-,25.0%,-
Revenue & Margin,Segment-3,-,-,-,Specialty Building Products And Services,-,-,-,Lumber And Lumber Sheet Goods,-,-,-,Windows Doors And Millwork,-
Revenue & Margin,Segment-3 %,-,-,-,24.7%,-,-,-,24.1%,-,-,-,21.1%,-
Revenue & Margin,Others,-,-,-,Manufactured Products,-,-,-,Specialty Building Products And Services,-,-,-,Specialty Building Products And Services,-
Revenue & Margin,Others %,-,-,-,24.0%,-,-,-,23.3%,-,-,-,18.3%,-
Revenue & Margin,Revenue Total,15653050000,15944354000,16166630000,16400486000,16731048000,17032818000,17105368000,17097330000,17304033000,18531232000,20928601000,22726418000,23003662000
Revenue & Margin,Rev-CoGS / Sale (%),30.97073733234098,31.576788874607274,32.15486468113639,32.82202124985808,33.55293105369132,34.101967155405525,34.73054774384275,35.165338681536824,34.862248586788986,34.89355159980729,34.801208164845804,34.076549150860465,33.668778475357534
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),6.571217749895387,7.700851348383258,8.697217663792639,9.726559322693243,10.648101661055541,11.71352855411242,12.175902909542781,12.72899920630882,12.782499894677732,13.948279315697953,16.11949121682811,16.589530299055486,16.805980717331007
Revenue & Margin,Op. Income / Rev (%),6.571511622335583,7.701139851761947,8.697502200520455,9.72683980218635,10.648101661055541,11.71352855411242,12.175902909542781,12.72899920630882,12.782499894677732,13.948279315697953,16.11949121682811,16.589530299055486,16.805980717331007
Revenue & Margin,Net Profit / Rev (%),3.7942701262693213,4.743484747014523,5.662138615159746,6.572085729654597,7.401490928721262,8.248905143001,8.567778255340663,9.01050046995642,9.098312514776179,10.042100816610574,11.675481796418213,12.097678569495642,12.203761296788311
EBITDA,Net Income,593919000,756318000,915377000,1077854000,1238347000,1405021000,1465550000,1540555000,1574375000,1860925000,2443515000,2749369000,2807312000
EBITDA,D & A,576578000,570748000,566579000,561929000,567590000,566496000,562107000,558275000,557794000,542850000,521743000,497140000,501324000
EBITDA,Net Int Inc,-259247000,-244252000,-224280000,-207724000,-201413000,-197343000,-198343000,-192115000,-187550000,-181468000,-199167000,-198373000,-196424000
EBITDA,Tax Provision,175439000,227290000,266399000,309634000,341779000,392780000,418840000,443649000,449963000,542395000,730902000,822464000,862255000
EBITDA,EBITDA,1605183000,1798608000,1972635000,2157141000,2349129000,2561640000,2644840000,2734594000,2769682000,3127638000,3895327000,4267346000,4367315000
EBITDA,Stock-Based Comp,59026000,59883000,60449000,63111000,63858000,58727000,54396000,48522000,40234000,36602000,33522000,31337000,32850000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,121.25,116.69,124.94,142.93,193.86,133.99,205.41,166.94,124.49,136.0,88.78,64.88,58.92
Capital Structure,O/S Shares,110547000,110922000,113675000,114814000,116176000,119244000,121972000,122600000,124577000,126977000,137074000,145500000,155309000
Capital Structure,Market Capitalization,13403823750,12943488180,14202554500,16410365020,22521879360,15977503560,25054268520,20466844000,15508590730,17268872000,12169429720,9440040000,9150806280
Capital Structure,Cash,296162000,87020000,115371000,153624000,328103000,75569000,697475000,66156000,88096000,89316000,144407000,80445000,84982000
Capital Structure,Debt,5081157000,5314511000,5109226000,4332825000,4337336000,4352777000,4246135000,3713358000,3914321000,4183637000,3703616000,3489418000,3689149000
Capital Structure,Enterprise Value,18188818750,18170979180,19196409500,20589566020,26531112360,20254711560,28602928520,24114046000,19334815730,21363193000,15728638720,12849013000,12754973280
Capital Structure,netCommonStockIssuance,-413957000,-401610000,-12347000,-363806000,-153207000,-983317000,-16801000,-222411000,-210323000,-787685000,-626331000,-648614000,-685839000
Capital Structure,netDebtIssuance,187839000,187839000,774246000,-784000,-99846000,97812000,522592000,-219031000,-276078000,474219000,214772000,-187140000,-385917000
Liquidity & Cash Flow,DSO,39.67239787134137,39.695827516749816,40.30845250370671,40.20504971620963,40.688667858701976,41.14820027138199,41.44946742741811,41.373991289868066,40.742135012687505,39.91732511362439,39.05814697074114,39.99794655277395,40.72436983076869
Liquidity & Cash Flow,DIO,42.6203422245894,42.44220592450401,42.054083701607695,41.93236371813426,41.68645120020696,42.32634628536036,43.14562012184963,43.284619814026094,44.17095297254357,44.497908085908136,44.046731926513324,45.30501372343244,45.68016762339427
Liquidity & Cash Flow,DPO,32.592354272508985,32.78847288164164,32.77911062471828,32.657127537380255,32.47344654376682,32.24897113777867,32.69614989995145,32.22258041410209,31.05883407009102,29.43874970192773,27.39047115120011,28.74938818407828,29.961904049582497
Liquidity & Cash Flow,CCC,49.70038582342178,49.349560559612186,49.58342558059612,49.48028589696364,49.90167251514212,51.225575418963686,51.89893764931628,52.43603068979207,53.85425391514005,54.976483497604804,55.714407746054356,56.55357209212811,56.44263340458045
Liquidity & Cash Flow,OCF,1394555000,1576789000,1687833000,1872692000,2110928000,2030436000,1969678000,2306872000,2666538000,3517868000,4073790000,3599231000,3468198000
Liquidity & Cash Flow,CapEx,-374203000,-387963000,-387331000,-380569000,-380636000,-426544000,-463902000,-476335000,-511507000,-451724000,-395322000,-340152000,-272953000
Liquidity & Cash Flow,FCF,1020352000,1188826000,1300502000,1492123000,1730292000,1603892000,1505776000,1830537000,2155031000,3066144000,3678468000,3259079000,3195245000
BQR,Total Debt / Adj Ebitda,3.165468983910246,2.954791149600135,2.5900513779792003,2.008596100115848,1.8463592250574574,1.6992149560437844,1.6054411609019827,1.357919310873936,1.4132745203239938,1.337634662323453,0.9507843629045777,0.8177021502357672,0.8447178644086814
