Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2023-01-31,2022-09-30
Header,Filing Date,2025-11-18,2025-08-07,2025-05-08,2025-02-06,2024-11-15,2024-08-08,2024-05-09,2024-02-08,2024-01-25,2023-08-11,2023-05-12,2023-02-10,2022-11-22
Revenue & Margin,Segment-1,Home And Personal Care,-,-,-,Home And Personal Care,-,-,-,Home And Personal Care,-,-,-,Home And Personal Care
Revenue & Margin,Segment-1 %,41.1%,-,-,-,41.6%,-,-,-,42.6%,-,-,-,43.7%
Revenue & Margin,Segment-2,Global Pet Supplies,-,-,-,Global Pet Supplies,-,-,-,Global Pet Supplies,-,-,-,Global Pet Supplies
Revenue & Margin,Segment-2 %,38.5%,-,-,-,38.9%,-,-,-,39.0%,-,-,-,37.5%
Revenue & Margin,Segment-3,Home And Garden Business,-,-,-,Home And Garden Business,-,-,-,Home And Garden Business,-,-,-,Home And Garden Business
Revenue & Margin,Segment-3 %,20.4%,-,-,-,19.5%,-,-,-,18.4%,-,-,-,18.7%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2809000000,2849200000,2929000000,2971800000,2963800000,2930800000,2886900000,2897600000,2918700000,2927500000,3010000000,3088600000,3132500000
Revenue & Margin,Rev-CoGS / Sale (%),36.73549305802777,37.32275726519725,37.62717651075452,37.758260986607446,37.424927457993114,36.355261362085436,35.54678028334892,33.39660408614026,31.681913180525576,31.41929974380871,30.973421926910298,31.502946318720454,31.626496408619314
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),6.571733713065147,6.931770321493753,7.401843632639126,7.86392085604684,7.206964032660773,6.568172512624539,5.7951435796182755,4.113749344284925,2.384623325453113,2.227156310845431,1.3156146511627906,0.7641002395907531,1.2386272944932162
Revenue & Margin,Op. Income / Rev (%),4.478462086151655,4.123964621648182,4.5715261181290545,6.403526482266639,5.7561238949996625,5.623038078340385,-0.263258166199037,-5.539066813914964,-7.04765820399493,-7.016225448334756,-1.3953488372093024,0.8709447646182736,0.7438148443735035
Revenue & Margin,Net Profit / Rev (%),3.556425774296903,2.558612943984276,2.01775349948788,4.014402045898109,4.2141844928807615,3.859014603521223,68.10765873428245,63.89425731639978,61.71925857402268,61.46541417591802,-0.9003322259136213,1.37602797383928,2.2857142537909017
EBITDA,Net Income,99900000,72900000,59100000,119300000,124900000,113100000,1966200000,1851400000,1801400000,1799400000,-27100000,42500000,71599999
EBITDA,D & A,98000000,99600000,99800000,100700000,101700000,99800000,97100000,94100000,91200000,90300000,93100000,96300000,99200000
EBITDA,Net Int Inc,-25800000,-22000000,-16500000,-8800000,-1000000,12100000,-10500000,-42500000,-80000000,-116600000,-117600000,-110900000,-99400000
EBITDA,Tax Provision,-13000000,26900000,47800000,63700000,64300000,36800000,28300000,-32000000,-56500000,-25500000,-37400000,-9400000,-13300000
EBITDA,EBITDA,210700000,221400000,223200000,292500000,291900000,237600000,2102100000,1956000000,1916100000,1980800000,146200000,240300000,256899999
EBITDA,Stock-Based Comp,20500000,19300000,19000000,18300000,17500000,17600000,17900000,17800000,17200000,11300000,5700000,7900000,10200000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,52.53,53.0,71.55,83.82,95.14,86.71,86.18,79.77,78.35,78.42,67.14,60.92,39.03
Capital Structure,O/S Shares,24100000,24900000,26100000,27900000,28000000,28900000,30200000,34000000,35600000,40400000,41000000,40900000,40800000
Capital Structure,Market Capitalization,1265973000,1319700000,1867455000,2338578000,2663920000,2505919000,2602636000,2712180000,2789260000,3168168000,2752740000,2491628000,1592424000
Capital Structure,Cash,123600000,122000000,96000000,179900000,368900000,157700000,745700000,445400000,753900000,2930200000,327800000,228000000,243700000
