Category,Metric,HELE,NWL,LCUT,SPB,YETI
Header,Fiscal Period,2026-Q3,2025-Q3,2025-Q3,2025-Q4,2025-Q3
Header,Statement Date,2025-11-30,2025-09-30,2025-09-30,2025-09-30,2025-09-30
Header,Filing Date,2026-01-08,2025-10-31,2025-11-06,2025-11-18,2025-11-06
Revenue & Margin,Segment-1,Beauty & Wellness,Home And Commercial,Shipping and Handling,Home And Personal Care,Drinkware
Revenue & Margin,Segment-1 %,52.5%,53.7%,100.0%,41.1%,59.8%
Revenue & Margin,Segment-2,Home & Outdoor,Learning And Development,-,Global Pet Supplies,Coolers And Equipment
Revenue & Margin,Segment-2 %,47.5%,35.8%,-,38.5%,38.2%
Revenue & Margin,Segment-3,-,Outdoor And Recreation,-,Home And Garden Business,"Product and Service, Other"
Revenue & Margin,Segment-3 %,-,10.5%,-,20.4%,2.0%
Revenue & Margin,Others,-,"Appliances and Cookware, Outdoor And Recreation",-,-,-
Revenue & Margin,Others %,-,28.6%,-,-,-
Revenue & Margin,Revenue Total,1802156000,7256000000,659066000,2809000000,1831326000
Revenue & Margin,Rev-CoGS / Sale (%),46.71987330730525,34.04079382579934,36.883862921164194,36.73549305802777,57.78605229216426
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),12.219419406533063,7.883131201764058,2.973905496566353,6.571733713065147,12.043295404532017
Revenue & Margin,Op. Income / Rev (%),-40.45765183480231,4.410143329658214,-2.1152661493689555,4.478462086151655,12.043295404532017
Revenue & Margin,Net Profit / Rev (%),-43.975105373785624,-0.33076074972436603,-5.488221210015386,3.556425774296903,8.753984817558425
EBITDA,Net Income,-792500000,-24000000,-36171000,99900000,160314000
EBITDA,D & A,53979000,309000000,22606000,98000000,52574000
EBITDA,Net Int Inc,-58811000,-309000000,-20585000,-25800000,716000
EBITDA,Tax Provision,6645000,3000000,1608000,-13000000,53366000
EBITDA,EBITDA,-673065000,597000000,8628000,210700000,265538000
EBITDA,Stock-Based Comp,20024000,71000000,4134000,20500000,47109000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,19.56,5.24,3.87,52.53,34.41
Capital Structure,O/S Shares,23035000,420000000,21562000,24100000,82083333
Capital Structure,Market Capitalization,450564600,2200800000,83444940,1265973000,2824487488
Capital Structure,Cash,27137000,229000000,12125000,123600000,164483000
Capital Structure,Debt,946884000,5327000000,67418000,654200000,222530000
Capital Structure,Enterprise Value,1370311600,7298800000,138737940,1796573000,2882534488
Capital Structure,netCommonStockIssuance,943000,0,0,-39200000,-149924000
Capital Structure,netDebtIssuance,-2045999,-305000000,23571000,-2600000,-3658000
Liquidity & Cash Flow,DSO,78.92537951764442,47.71258269018743,67.13195264207226,83.50235849056604,27.990925018265454
Liquidity & Cash Flow,DIO,187.3008859695623,113.59538236523193,186.86532548674566,102.88025434696978,154.23637260291693
Liquidity & Cash Flow,DPO,101.21974039540049,71.07814458838278,47.72112400445217,68.31811659445164,70.24494227597582
Liquidity & Cash Flow,CCC,165.00652509180622,90.22982046703656,206.27615412436575,118.06449624308418,111.98235534520656
Liquidity & Cash Flow,OCF,94790000,253000000,24176000,203600000,307419000
Liquidity & Cash Flow,CapEx,-14091000,-273000000,-3844000,-38300000,-80590000
Liquidity & Cash Flow,FCF,80699000,-20000000,20332000,165300000,231246000
BQR,Total Debt / Adj Ebitda,999.0,8.922948073701843,7.813861845155309,3.104888467014713,0.838034480940581
BQR,Adj Ebitda / Interest Expense,-999.0,1.9320388349514563,0.4191401505950935,8.166666666666666,-999.0
BQR,Net Income before extraordinary,-792500000,-24000000,-36171000,99900000,160314000
BQR,(NCO-CAPEX) / Total Debt (%),8.52258565991188,-0.3754458419373005,30.158118010026996,25.267502292876795,103.91677526625624
BQR,Score: Operating Leverage,75,75,75,45,25
BQR,Score: ICR,75,65,75,45,75
BQR,Score: Net Income,75,75,75,42,42
BQR,Score: FCF/Debt,58,75,35,42,15
BQR,BQR,70.75,73.5,65.0,43.5,34.25
