Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4
Header,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
Header,Filing Date,2025-12-12,2025-09-04,2025-06-05,2025-03-12,2024-12-20,2024-09-04,2024-06-06,2024-03-07,2023-12-15,2023-09-06,2023-06-07,2023-03-08,2022-12-16
Revenue & Margin,Segment-1,-,-,-,-,Networking Platforms Segment,-,-,-,Networking Platforms Segment,-,-,-,Product
Revenue & Margin,Segment-1 %,-,-,-,-,75.8%,-,-,-,79.6%,-,-,-,79.5%
Revenue & Margin,Segment-2,-,-,-,-,Global Services,-,-,-,Global Services,-,-,-,Service
Revenue & Margin,Segment-2 %,-,-,-,-,13.4%,-,-,-,11.9%,-,-,-,20.5%
Revenue & Margin,Segment-3,-,-,-,-,Platform Software and Services Segment,-,-,-,Platform Software and Services Segment,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,8.9%,-,-,-,6.9%,-,-,-,-
Revenue & Margin,Others,-,-,-,-,Blue Planet Automation Software and Services Segment,-,-,-,Blue Planet Automation Software and Services Segment,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,1.9%,-,-,-,1.6%,-,-,-,-
Revenue & Margin,Revenue Total,4769507000,4541635000,4264558000,4049506000,4014955000,4020330000,4145908000,4367737000,4386549000,4228072000,4028167000,3844739000,3632661000
Revenue & Margin,Rev-CoGS / Sale (%),39.88927996122031,38.762317975795064,39.0325327970683,39.53247630698658,39.78064511308346,40.308606507426006,40.109524861622596,40.28495763366705,39.87043117493957,40.13141214246115,39.47827883004851,39.1858068909229,39.417688575950244
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),22.695930627630908,21.33636895082938,21.167351927210277,21.28630010672907,21.56587060128943,22.30010969248793,22.93963107719708,23.932645211925536,23.773768399714672,23.849854023299507,22.90046564603702,22.090472201103896,21.6360403571927
Revenue & Margin,Op. Income / Rev (%),6.5162290358311665,5.595275710179264,4.851991695270647,4.539220339468567,4.762419504079124,5.668813256623213,6.807869349729902,8.754670897080112,8.773480018119027,8.922057145668285,8.18282856693876,7.434080700926643,7.081035086951411
Revenue & Margin,Net Profit / Rev (%),2.585969577149169,3.101900527012849,2.457441075956758,1.9503860470882128,2.0910819672947767,3.4357129887347555,3.705581503496942,5.223139580061711,5.809281966301984,5.2334255424221725,5.01597873176559,4.7680739836956425,4.209090801481338
EBITDA,Net Income,123338000,140877000,104799000,78981000,83956000,138127000,153630000,228133000,254827000,221273000,202052000,183320000,152902000
EBITDA,D & A,140338000,136778000,134054000,134103000,133470000,136365000,139419000,142471000,142180000,140889000,139213000,136853000,140203000
EBITDA,Net Int Inc,-34383000,-33281000,-35173000,-35517000,-34908000,-35291000,-37991000,-42858000,-43008000,-42124000,-40767000,-37845000,-36990000
EBITDA,Tax Provision,32949000,60573000,47187000,37960000,35894000,4220000,36703000,65704000,68826000,97242000,66953000,45462000,29603000
EBITDA,EBITDA,331008000,371509000,321213000,286561000,288228000,314003000,367743000,479166000,508841000,501528000,448985000,403480000,359698000
EBITDA,Stock-Based Comp,0,176667000,167096000,159383000,156404000,150483000,146158000,137770000,130455000,122709000,116533000,111346000,105131000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,189.92,88.63,72.85,87.14,63.97,50.16,46.61,51.42,42.2,41.58,46.04,51.03,47.9
