Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Header,Filing Date,2025-11-05,2025-08-06,2025-05-07,2025-02-24,2024-11-06,2024-08-06,2024-04-24,2024-02-14,2023-10-25,2023-07-26,2023-04-26,2023-02-15,2022-10-26
Revenue & Margin,Segment-1,-,-,-,Roofing,-,-,-,Roofing,-,-,-,Insulation,-
Revenue & Margin,Segment-1 %,-,-,-,35.8%,-,-,-,36.7%,-,-,-,37.0%,-
Revenue & Margin,Segment-2,-,-,-,Insulation,-,-,-,Insulation,-,-,-,Roofing,-
Revenue & Margin,Segment-2 %,-,-,-,32.6%,-,-,-,33.4%,-,-,-,36.5%,-
Revenue & Margin,Segment-3,-,-,-,Composites,-,-,-,Composites,-,-,-,Composites,-
Revenue & Margin,Segment-3 %,-,-,-,18.7%,-,-,-,20.8%,-,-,-,26.5%,-
Revenue & Margin,Others,-,-,-,Doors,-,-,-,Roofing and Insulation,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,12.8%,-,-,-,9.1%,-,-,-,-,-
Revenue & Margin,Revenue Total,10801000000,11163000000,10913000000,10400000000,9864000000,9297000000,9363000000,9677000000,9658000000,9708000000,9746000000,9761000000,9607000000
Revenue & Margin,Rev-CoGS / Sale (%),29.21951671141561,29.66048553256293,29.909282507101622,30.51923076923077,30.748175182481752,31.06378401634936,30.50304389618712,29.316937067272914,28.494512321391593,27.472187886279357,26.70839318694849,26.66734965679746,26.834599771000313
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),19.350060179613,19.76171280121831,20.095299184458902,20.903846153846153,21.472019464720194,22.06087985371625,21.79856883477518,20.75023251007544,19.942016980741354,18.984342810053565,18.366509337163965,18.54318205101936,18.663474549807432
Revenue & Margin,Op. Income / Rev (%),10.471252661790574,18.409029830690674,18.757445248785853,19.576923076923077,20.123682076236822,20.705603958266106,20.495567659938054,19.479177431022013,18.720231932077034,17.79975278121137,17.22758054586497,17.457227743059114,17.612157801602997
Revenue & Margin,Net Profit / Rev (%),-4.462549763910749,2.983069067454985,2.336662695867314,6.221153846153846,10.502838605028385,11.315478111218672,11.876535298515433,12.359202232096724,12.311037481880307,13.61763494025546,13.544018058690744,12.713861284704436,13.989799104819403
EBITDA,Net Income,-482000000,333000000,255000000,647000000,1036000000,1052000000,1112000000,1196000000,1189000000,1322000000,1320000000,1241000000,1344000000
EBITDA,D & A,707000000,710000000,705000000,677000000,646000000,621000000,613000000,609000000,577000000,547000000,526000000,531000000,532000000
EBITDA,Net Int Inc,-253000000,-258000000,-259000000,-211000000,-164000000,-111000000,-70000000,-76000000,-89000000,-100000000,-103000000,-109000000,-111000000
EBITDA,Tax Provision,257000000,275000000,266000000,261000000,344000000,334000000,354000000,401000000,394000000,398000000,396000000,373000000,409000000
EBITDA,EBITDA,735000000,1576000000,1485000000,1796000000,2190000000,2118000000,2149000000,2282000000,2249000000,2367000000,2345000000,2254000000,2396000000
EBITDA,Stock-Based Comp,73000000,79000000,100000000,93000000,87000000,77000000,52000000,51000000,51000000,53000000,52000000,51000000,52000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,141.46,137.52,142.82,170.32,176.52,167.57,168.79,148.23,136.41,130.5,95.8,85.3,78.61
Capital Structure,O/S Shares,83446000,85000000,85800000,87000000,87000000,87200000,87300000,88500000,90000000,90500000,91300000,93100000,96300000
Capital Structure,Market Capitalization,11804271160,11689200000,12253956000,14817840000,15357240000,14612104000,14735367000,13118355000,12276900000,11810250000,8746540000,7941430000,7570143000
Capital Structure,Cash,294000000,230000000,400000000,361000000,499000000,254000000,1246000000,1615000000,1323000000,968000000,757000000,1099000000,751000000
Capital Structure,Debt,5608000000,5977000000,6004000000,5616000000,5957000000,6083000000,3301000000,3273000000,3218000000,3228000000,3211000000,3224000000,3171000000
Capital Structure,Enterprise Value,17118271160,17436200000,17857956000,20072840000,20815240000,20441104000,16790367000,14776355000,14171900000,14070250000,11200540000,10066430000,9990143000
Capital Structure,netCommonStockIssuance,-220000000,-227000000,-136000000,-103000000,-203000000,-24000000,-161000000,-238000000,-144000000,-115000000,-160000000,-259000000,-206000000
Capital Structure,netDebtIssuance,-392000000,-92000000,461000000,-412000000,-165000000,1625000000,-10000000,-9000000,-8000000,-8000000,-8000000,-30000000,-8000000
Liquidity & Cash Flow,DSO,49.71819738913064,49.2257905580937,50.654494639420875,51.863341346153845,52.30408556366586,52.775223190276435,49.80107871408737,47.97767903275808,47.82641333609443,47.617686444169756,46.91706854093987,46.91040876959328,47.45341938170084
Liquidity & Cash Flow,DIO,70.13538260300851,70.29689887926642,73.55830827559159,75.31345142540825,74.47207583077149,74.19312685286316,69.03699861687413,67.47697368421052,68.62909064581524,68.47961937224827,67.06740865182697,64.4665060072646,62.32625551287523
Liquidity & Cash Flow,DPO,63.152877697841724,62.475802343352015,65.92332331023663,68.33016191530584,69.42266871614697,70.57672803869558,66.68107422775472,64.31524122807018,65.40508253692441,66.21165317426502,66.87578748425031,67.81922324671696,65.81839521980368
Liquidity & Cash Flow,CCC,56.70070229429742,57.04688709400811,58.289479604775835,58.846630856256255,57.353492678290365,56.39162200444402,52.157003103206776,51.13941148889843,51.05042144498526,49.88565264215299,47.10868970851652,43.55769153014093,43.961279674772385
Liquidity & Cash Flow,OCF,1872000000,1653000000,1819000000,1892000000,1914000000,1906000000,1907000000,1719000000,1696000000,1466000000,1438000000,1760000000,1420000000
Liquidity & Cash Flow,CapEx,-764000000,-739000000,-698000000,-647000000,-586000000,-555000000,-520000000,-526000000,-530000000,-514000000,-497000000,-446000000,-479000000
Liquidity & Cash Flow,FCF,1108000000,914000000,1121000000,1245000000,1328000000,1351000000,1387000000,1193000000,1166000000,952000000,941000000,1314000000,941000000
BQR,Total Debt / Adj Ebitda,7.629931972789116,3.79251269035533,4.043097643097643,3.1269487750556793,2.7200913242009133,2.87204910292729,1.536063285248953,1.4342681858019282,1.4308581591818585,1.3637515842839036,1.3692963752665246,1.4303460514640638,1.3234557595993321
BQR,Adj Ebitda / Interest Expense,2.9051383399209487,6.108527131782946,5.7335907335907335,8.511848341232227,13.353658536585366,19.08108108108108,30.7,30.026315789473685,25.269662921348313,23.67,22.766990291262136,20.678899082568808,21.585585585585587
