Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-01-12,2025-11-10,2025-08-07,2025-05-09,2025-03-14,2024-11-12,2024-08-09,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Revenue & Margin,Segment-1,-,-,-,-,Health Care Capitation Revenue,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,9126.3%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,"Health Care, Other",-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,423.8%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,"Health Care, Patient Service",-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,306.4%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,"Product and Service, Other, Management Service",-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,143.5%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.9003020958132764,1.537879925633231,4.619371448342515,5.09070130553361,5.764300529849499,5.627488218248492,6.572623961101375,7.28008617570544,7.381899842932163,8.884619613596278,9.981783996137775,9.677461724746541,10.645851468845375,10.7001921428134,12.019720008542963,13.970408064911341
Revenue & Margin,Op. Income / Rev (%),2.4680586792516874,2.100947537593368,2.896428738254495,3.545495504702356,4.391656099167379,4.921134694289893,5.994233052524453,6.354564051909032,6.1020638050224205,7.611267673519431,8.643193060334923,8.244140705167673,9.112679650819288,8.988226468246678,10.1553437496074,11.915625475402184
Revenue & Margin,Net Profit / Rev (%),0.7067445436065186,0.32926456651320324,1.0440999753215738,1.5554254159161174,2.1208233802235394,3.6261725869109194,4.298260492640546,4.293652245809872,4.378644543515291,3.4462892198874258,3.6159770240818343,3.7488815006362106,4.04653528689943,5.99671213791414,7.722483489884545,8.64822619098771
EBITDA,Net Income,22487000,9537000,25258000,35006000,43149000,62456000,68421000,62420000,60717000,45761000,46887000,45667000,46299000,62669000,73763000,74471000
EBITDA,D & A,45749000,37474000,29143000,29680000,27927000,24703000,21744000,18552000,17748000,16909000,17359000,17461000,17543000,17892000,17808000,17694000
EBITDA,Net Int Inc,-37771000,-29086000,-19968000,-19996000,-18589000,-14572000,-9992000,-5223000,-1894000,-2349000,-4050000,-5178000,-5945000,-5470000,-3818000,-3675000
EBITDA,Tax Provision,15530000,20468000,23705000,27127000,30886000,26022000,28233000,32211000,31990000,40956000,48280000,39623000,39520000,26415000,8929000,28497000
EBITDA,EBITDA,121537000,96565000,98074000,111809000,120551000,127753000,128390000,118406000,112349000,105975000,116576000,107929000,109307000,112446000,104318000,124337000
EBITDA,Stock-Based Comp,19193000,23046000,29209000,36599000,34536000,27977000,27520000,24343000,22040000,18988000,16784000,16491000,16101000,10477000,8395000,6031000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,24.81,28.35,24.88,31.01,31.53,57.94,39.73,42.04,38.78,30.85,31.6,36.47,29.59,39.0,38.59,48.47
Capital Structure,O/S Shares,49230904,49187885,49187885,48470682,47929872,47686841,47615096,47854839,47523077,46547502,46482271,46555406,46575699,44946725,44858657,44681218
Capital Structure,Market Capitalization,1221418728,1394476539,1223794578,1503075848,1511228864,2762975567,1891747764,2011817431,1842944926,1435990436,1468839763,1697875656,1378174933,1752922275,1731095573,2165698636
Capital Structure,Cash,429474000,462227000,339703000,258517000,288455000,347994000,325310000,334796000,293807000,273941000,293921000,274613000,288027000,184016000,234223000,237942000
Capital Structure,Debt,1078130000,1087243000,447590000,451350000,471839000,475819000,475452000,433572000,321014000,235588000,230314000,228678000,229364000,223103000,223211000,201502000
Capital Structure,Enterprise Value,1870074728,2019492539,1331681578,1695908848,1694612864,2890800567,2041889764,2110593431,1870151926,1397637436,1405232763,1651940656,1319511933,1792009275,1720083573,2129258636
Capital Structure,netCommonStockIssuance,-15429000,-509000,1014999,-1316000,-220000,-717000,0,0,-503000,-150000,0,-9539000,398000,-168000,-9250000,-230000
Capital Structure,netDebtIssuance,-11966000,672575000,-2978000,-16379000,-3886000,-2367000,52999000,106321000,76988000,1064000,-191000,1310000,1317000,-2899000,225000,529000
Liquidity & Cash Flow,DSO,42.97595058665423,44.60163889996565,46.95662353247073,44.79524223598069,43.0752528827155,41.502486113586706,42.56579220142854,42.00600471600125,42.03465137863445,41.971451250683444,45.04259301961498,49.64864446086278,52.473590979964406,55.66658987652336,48.250233989271045,44.9598949266821
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,7.704497978055416,8.911143769327243,3.4782012561694007,4.856651277521629,9.065420905287802,10.459377843193353,9.59000379877354,8.473849586262451,3.27944666865238,3.5742014301829275,5.065148305084746,5.499831500147036,5.511394250159047,5.506027284930513,5.890338028754258,6.69597016514456
Liquidity & Cash Flow,CCC,35.271452608598814,35.69049513063841,43.47842227630133,39.93859095845906,34.0098319774277,31.043108270393354,32.975788402655006,33.5321551297388,38.75520470998207,38.39724982050052,39.977444714530236,44.148812960715745,46.962196729805356,50.16056259159285,42.35989596051679,38.26392476153754
Liquidity & Cash Flow,OCF,114597000,106535000,130560000,62848000,52198000,82446000,63870000,66484000,68227000,133866000,82591000,65810000,82128000,-15001000,72108000,84421000
Liquidity & Cash Flow,CapEx,-7036000,-9573000,-9316000,-10732000,-8031000,-12557000,-14367000,-14047000,-28529000,-22358000,-21462000,-20302000,-22940000,-24857000,-30704000,-36614000
Liquidity & Cash Flow,FCF,107561000,96962000,121244000,52116000,44167000,69889000,49503000,52437000,39698000,111508000,61129000,45508000,59188000,-39858000,41404000,47807000
BQR,Total Debt / Adj Ebitda,8.87079654755342,11.259182933775177,4.563798764198462,4.036794891287821,3.914019792452987,3.724523103175659,3.703185606355635,3.6617401145212236,2.8572928998032916,2.223052606746874,1.9756553664562173,2.1187817917334546,2.098346857932246,1.9840901410454796,2.1397170191146304,1.6206117245872105
BQR,Adj Ebitda / Interest Expense,3.2177331815413943,3.3199821219830845,4.911558493589744,5.591568313662733,6.48507181666577,8.767018940433708,12.849279423538832,22.670112961899292,59.31837381203801,45.11494252873563,28.784197530864198,20.843762070297412,18.386375105130362,20.556855575868372,27.322682032477736,33.83319727891156
BQR,Net Income before extraordinary,22487000,9537000,25258000,35006000,43149000,62456000,68421000,62420000,60717000,45761000,46887000,45667000,46299000,62669000,73763000,74471000
BQR,(NCO-CAPEX) / Total Debt (%),9.976626195356776,8.91815353145525,27.088183382113094,11.546693253572615,9.360608173550723,14.688148224429877,10.41177658312511,12.094185048850019,12.366438846903874,47.3317826035282,26.541591045268632,19.900471405207323,25.805270225493103,-17.865290919440795,18.549265045181464,23.725322825579894
BQR,Score: Operating Leverage,75,75,55,52,52,48,48,48,45,42,42,42,42,42,42,35
BQR,Score: ICR,58,58,52,48,48,45,35,25,15,15,25,25,25,25,25,15
BQR,Score: Net Income,52,55,48,48,48,45,45,45,45,48,48,48,48,45,45,45
BQR,Score: FCF/Debt,58,58,42,58,58,55,58,55,55,25,42,48,42,75,48,42
BQR,BQR,62.45,63.2,49.55,51.9,51.9,48.55,47.8,45.55,43.0,35.2,40.95,42.45,40.95,48.45,41.7,36.25
