Category,Metric,ALTG,APPN,CATO,CULP,HLX,LCII,MAGN,TTAN,UAN,WOOF
Header,Fiscal Period,2025-Q4,2025-Q4,2025-Q3,2025-Q2,2025-Q4,2025-Q4,2025-Q4,2026-Q3,2025-Q4,2025-Q3
Header,Statement Date,2025-12-31,2025-12-31,2025-11-30,2025-11-30,2025-12-31,2025-12-31,2025-12-31,2025-10-31,2025-12-31,2025-11-30
Header,Filing Date,2026-02-26,2026-02-19,2025-11-25,2025-12-12,2026-02-26,2026-02-26,2026-02-05,2025-12-09,2026-02-18,2025-12-05
Revenue & Margin,Segment-1,Parts Sales,"Subscriptions, Software, and Support",ReportableSegmentsMemberRetail,Mattress Fabrics,Renewables,OEM Segment,Airlaid Materials,Platform Revenue,"Product, UAN",Consumables
Revenue & Margin,Segment-1 %,4000.0%,4813.7%,9970.5%,5341.8%,8498.1%,4362.4%,4225.6%,5665.8%,6176.4%,4898.0%
Revenue & Margin,Segment-2,Service,Cloud Subscriptions,ReportableSegmentsMemberCredit,Upholstery Fabrics,"Service, Other",Travel Trailer And Fifth Wheels,Composite Fibers,Subscription Revenue,"Product, Ammonia",Supplies And Companion Animals
Revenue & Margin,Segment-2 %,3528.5%,3652.1%,29.5%,4658.2%,1501.9%,2336.3%,3483.8%,4334.2%,2361.1%,3532.8%
Revenue & Margin,Segment-3,Rental Revenue,Professional Services Member,-,-,Production Facilities,OEMs Adjacent Industries,Spunlace,-,"Products, Other",Services And Other
Revenue & Margin,Segment-3 %,2471.5%,1256.5%,-,-,814.9%,1703.4%,2290.6%,-,845.6%,1569.2%
Revenue & Margin,Others,-,Maintenance And Support,-,-,-,"Aftermarket Segment, Motorhomes",-,-,"Product, Urea Products",-
Revenue & Margin,Others %,-,277.7%,-,-,-,1597.9%,-,-,616.9%,-
Revenue & Margin,Revenue Total,1835900000,726937000,660062000,204919000,1291474000,4122017000,3294000000,916259000,606039000,5998469000
Revenue & Margin,Rev-CoGS / Sale (%),25.851081213573725,74.68377589804894,32.21788256254715,13.235961526261597,12.322199285467612,23.781925207974638,10.018214936247723,68.62633818603692,22.767511661790742,37.73044421834972
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),8.69873086769432,22.818758709489266,-2.3773524305292533,-3.853717810451935,6.4421738261862025,8.035920278834368,4.068002428658167,8.840731714504305,17.224469052321716,1.8922495056655289
Revenue & Margin,Op. Income / Rev (%),1.2636853859142654,0.08377617317594235,-2.3773524305292533,0.9247556351534021,5.043461966714003,6.790898727491905,2.94474802671524,-13.896507428576419,21.256222784342263,1.8922495056655289
Revenue & Margin,Net Profit / Rev (%),-4.373876572798083,0.16961579889316405,-1.456075338377304,-3.9030055778136727,2.3869624940184626,4.56693895245944,-4.037644201578628,-23.907977984390875,16.27981037523988,-0.03660934148363524
EBITDA,Net Income,-80300000,1233000,-9611000,-7998000,30827000,188250000,-133000000,-219059000,98662000,-2196000
EBITDA,D & A,92300000,9705000,7800000,4736000,156371000,121231000,46000000,80862000.0,58859000,198779000
EBITDA,Net Int Inc,-82700000,-20850000,-473000,338000,-22777000,-35710000,-150000000,9158000,-30345000,-128369000
EBITDA,Tax Provision,21500000,5211000,-198000,-959000,11653000,66819000,7000000,2253000,-23000,-7402000
EBITDA,EBITDA,116200000,36999000,-1536000,-4559000,221628000,412010000,70000000,-145102000.0,187843000,317550000
EBITDA,Stock-Based Comp,2000000,30992000,1289000,491000,3278000,16868000,14000000,237395000.0,7570000,34879000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,4.6,35.42,3.85,4.05,6.27,121.34,15.08,94.36,102.5,3.18
Capital Structure,O/S Shares,32358106,73895000,18532142,12598000,146994000,24219000,35500000,91794000,10570000,280380000
Capital Structure,Market Capitalization,148847287,2617360900,71348746,51021900,921652379,2938733460,535340000,8661681840,1083425000,891608400
Capital Structure,Cash,18600000,135810000,22769000,10728000,445196000,222615000,305000000,493448000.0,69243000,237413000
Capital Structure,Debt,1168700000,345393000,159981000,22845000,629750000,1235406000,2037000000,158095000.0,593417000,4005249999
Capital Structure,Enterprise Value,1298947287,2826943900,208560746,63138900,1106206379,3951524460,2267340000,8326328840,1607599000,4659445399
Capital Structure,netCommonStockIssuance,-1000000,366000,82000,-76000,0,0,0,4101000.0,0,740000
Capital Structure,netDebtIssuance,-49500000,-5000000,0,-48999,0,-1230000,-27000000,-268000.0,0,3252000
Liquidity & Cash Flow,DSO,40.547823955553135,92.675606689438,14.324213104223544,42.78912033535202,96.74609496590718,29.89627226185627,56.87196417729205,39.006614123299194,29.947798326510338,2.341585827983774
Liquidity & Cash Flow,DIO,134.53224858591054,0.0,83.92865005677196,101.53318550494916,0.0,86.49763847660614,30.231950067476387,0.0,62.14947378203937,61.68974618630228
Liquidity & Cash Flow,DPO,24.245298611621248,15.229571598571995,68.83378333676052,58.482187522834714,49.46176201233556,25.3225762814151,45.68657219973009,32.62588097987922,30.808525991492488,44.46266317646618
Liquidity & Cash Flow,CCC,150.8347739298424,77.446035090866,29.419079824234984,85.84011831746645,47.284332953571614,91.07133445704731,41.417342045038346,6.380733143419974,61.288746117057215,19.56866883781987
Liquidity & Cash Flow,OCF,60100000,66430000,-3234000,-16183000,136749000,330976000,163000000,84977000.0,149638000,256521000
Liquidity & Cash Flow,CapEx,-27600000,-3318000,-3725000,-1587000,-16342000,-52644000,-66000000,-20509000.0,-27234000,-126909000
Liquidity & Cash Flow,FCF,11000000,63112000,-7489000,-17770000,120407000,278332000,97000000,79976000.0,98836000,129612000
BQR,Total Debt / Adj Ebitda,10.057659208261619,9.335198248601314,999.0,999.0,2.841473099066905,2.998485473653552,29.1,999,3.1591115985157816,12.612974331601322
BQR,Adj Ebitda / Interest Expense,1.4050785973397824,1.7745323741007195,-999,-999,9.730342011678447,11.53766451974237,0.4666666666666667,-999,6.190245509968693,2.4737280807671636
BQR,Net Income before extraordinary,-80300000,1233000,-9611000,-7998000,30827000,188250000,-133000000,-219059000,98662000,-2196000
BQR,(NCO-CAPEX) / Total Debt (%),0.9412167365448789,18.27251855133138,-4.681180890230715,-77.78507332020136,19.119809448193728,22.52959755740218,4.761904761904762,50.58730510136311,16.655404209855803,3.236052681664329
BQR,Score: Operating Leverage,75,75,75,75,45,45,75,75,45,75
BQR,Score: ICR,75,65,75,75,45,42,75,75,48,65
BQR,Score: Net Income,75,58,65,65,48,42,75,75,42,65
BQR,Score: FCF/Debt,75,48,75,75,48,45,75,15,52,75
BQR,BQR,75.0,62.5,72.5,72.5,46.5,43.8,75.0,60.0,46.449999999999996,71.0
