Category,Metric,DK,PBF
Header,Fiscal Period,2025-Q4,2025-Q4
Header,Statement Date,2025-12-31,2025-12-31
Header,Filing Date,2026-02-27,2026-02-12
Revenue & Margin,Segment-1,Refining,Prior to elimination
Revenue & Margin,Segment-1 %,0.9123791570828217,0.5
Revenue & Margin,Segment-2,Logistics,Refining Group
Revenue & Margin,Segment-2 %,0.08762084291717828,0.49353968168402895
Revenue & Margin,Segment-3,Retail Segment,Logistics Group
Revenue & Margin,Segment-3 %,0.048208629164391045,0.006460318315971053
Revenue & Margin,Others,-,-
Revenue & Margin,Others %,-,-
Revenue & Margin,Revenue Total,10722900000,29332300000
Revenue & Margin,Rev-CoGS / Sale (%),6.6073543537662385,-1.9466594845954799
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),4.304805602961885,-3.079540301987911
Revenue & Margin,Op. Income / Rev (%),3.1595930205448153,-0.18512015764191694
Revenue & Margin,Net Profit / Rev (%),-0.21262904624681755,-0.5403599444980448
EBITDA,Net Income,-22800000,-158500000
EBITDA,D & A,397800000,662800000
EBITDA,Net Int Inc,-345300000,-181600000
EBITDA,Tax Provision,-6800000,-74100000
EBITDA,EBITDA,713500000,611800000
EBITDA,Stock-Based Comp,21100000,39000000
EBITDA,Others Adj.,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD
Capital Structure,Stock Price,29.66,27.12
Capital Structure,O/S Shares,60030006,116657218
Capital Structure,Market Capitalization,1780489977,3163743752
Capital Structure,Cash,625800000,527900000
Capital Structure,Debt,3352500000,2901500000
Capital Structure,Enterprise Value,4507189977,5537343752
Capital Structure,netCommonStockIssuance,-20000000,6000000
Capital Structure,netDebtIssuance,52899999,-252800000
Liquidity & Cash Flow,DSO,23.205441158641783,15.117131967148843
Liquidity & Cash Flow,DIO,29.237285808435853,33.46399895663689
Liquidity & Cash Flow,DPO,64.94765038344784,10.453532720468978
Liquidity & Cash Flow,CCC,-12.504923416370204,38.12759820331676
Liquidity & Cash Flow,OCF,539400000,-78000000
Liquidity & Cash Flow,CapEx,-533000000,-438100000
Liquidity & Cash Flow,FCF,2800000,-783200000
BQR,Total Debt / Adj Ebitda,4.6986685353889275,4.742562929061785
BQR,Adj Ebitda / Interest Expense,2.066319142774399,3.368942731277533
BQR,Net Income before extraordinary,-22800000,-158500000
BQR,(NCO-CAPEX) / Total Debt (%),0.0008351976137211036,-0.2699293468895399
BQR,Score: Operating Leverage,55,55
BQR,Score: ICR,65,58
BQR,Score: Net Income,75,75
BQR,Score: FCF/Debt,75,75
BQR,BQR,66.5,65.45
