Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,0.0-0,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,0,2025-11-04,2025-08-07,2025-05-01,2025-02-21,2024-11-12,2024-07-30,2024-05-02,2024-02-22,2023-11-02,2023-07-27,2023-05-04,2023-02-23,2022-11-03,2022-08-04,2022-05-05,2022-02-23,2021-11-04
Revenue & Margin,Segment-1,Concerts,-,-,-,Concerts,-,-,-,Concerts,-,-,-,Concerts,-,-,-,Concerts,-
Revenue & Margin,Segment-1 %,6330.8%,-,-,-,8197.3%,-,-,-,8103.9%,-,-,-,8089.4%,-,-,-,7529.8%,-
Revenue & Margin,Segment-2,Sponsorship and Advertising,-,-,-,Ticketing,-,-,-,Ticketing,-,-,-,Ticketing,-,-,-,Ticketing,-
Revenue & Margin,Segment-2 %,3274.0%,-,-,-,1287.8%,-,-,-,1278.2%,-,-,-,1342.0%,-,-,-,1808.6%,-
Revenue & Margin,Segment-3,Ticketing,-,-,-,Sponsorship and Advertising,-,-,-,Sponsorship and Advertising,-,-,-,Sponsorship and Advertising,-,-,-,Sponsorship and Advertising,-
Revenue & Margin,Segment-3 %,395.2%,-,-,-,514.9%,-,-,-,647.8%,-,-,-,580.4%,-,-,-,656.8%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,"Corporate Segment, Other Segments",-,-,-,Other Segments,-,-,-,Other Segments,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-29.9%,-,-,-,-11.8%,-,-,-,4.8%,-
Revenue & Margin,Revenue Total,18887901000.0,24569494000.0,23721438000.0,22738213000.0,23155625000.0,23312973000.0,23816449000.0,23423756000.0,22751617000.0,21203413000.0,19202385000.0,18005836000.0,16681254000.0,15093687000.0,11638874000.0,7780646000.0,6268447000.0,3802660000.0
Revenue & Margin,Rev-CoGS / Sale (%),53.75513139337187,46.18081267770513,25.23936365071966,25.53614041701518,25.16654592566601,24.844759181937025,24.25984243075028,24.029327320520245,24.139747957255082,25.154120235265896,25.635039605757303,25.679146472288206,26.03958911002734,26.7582268003835,28.5416441487381,31.97165119708569,30.509279252101834,32.93452478002241
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),38.98216111996775,30.008200413081358,8.49961541117364,8.41172083311912,7.475708386191259,7.957166166666088,7.8605378996675785,7.601112306668495,8.506278916351308,8.927275057086328,8.593380457687939,8.595668648764768,8.319794183338974,8.840464228521501,8.38960882298408,6.239199161612031,2.514753654294277,-3.3482614801218094
Revenue & Margin,Op. Income / Rev (%),7.379713606080422,4.698627493101812,4.221932076799054,4.312867506342736,3.5607330832141217,4.2142973356508415,4.184549090420658,3.915524905570225,4.840662534008022,5.012942963474795,4.767668182884574,4.708662235955054,4.388866688319714,4.81964413333866,3.07897482179118,-1.1262046878883836,-6.666053011216334,-17.917089616216018
Revenue & Margin,Net Profit / Rev (%),3.6958685880448017,3.6592491485579637,3.8758442890350917,4.283384098829578,3.870709600798942,2.078550856641064,2.3271605267435125,2.3478685484941013,2.642735239433751,2.8719857505959063,2.33763149733744,1.9049323785910302,1.7743630065221716,2.0147231090720243,-0.08959629599908032,-5.062471676516321,-10.383815959519161,-23.649550577753466
EBITDA,Net Income,698072000.0,899059000.0,919406000.0,973965000.0,896287000.0,484572000.0,554247000.0,549959000.0,601265000.0,608959000.0,448881000.0,342999000.0,295986000.0,304096000.0,-10428000.0,-393893000.0,-650904000.0,-899312000.0
EBITDA,D & A,490608000.0,633207000.0,566919000.0,566784000.0,577946000.0,569792000.0,584605000.0,562229000.0,516797000.0,513839000.0,485279000.0,464692000.0,449976000.0,421008000.0,420352000.0,407870000.0,416277000.0,433998000.0
EBITDA,Net Int Inc,-124069000.0,-168916000.0,-177178000.0,-178568000.0,-169720000.0,-154746000.0,-110960000.0,-100958000.0,-112426000.0,-124259000.0,-160856000.0,-190556000.0,-200863000.0,-228779000.0,-253148000.0,-265343000.0,-275815000.0,-268219000.0
