Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q)
Header,Fiscal Period,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2
Header,Statement Date,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31
Header,Filing Date,2022-06-02,2022-03-23,2021-12-02,2021-09-02,2021-06-03,2021-03-12,2020-12-03,2020-09-04,2020-06-04,2020-03-30,2019-12-09,2019-09-09,2019-06-10,2019-03-29,2018-12-10,2018-07-31
Revenue & Margin,Segment-1,-,Subscription and Circulation,-,-,-,Subscription And Circulation,-,-,-,Subscription And Circulation,-,-,-,Subscription and Circulation,-,-
Revenue & Margin,Segment-1 %,-,9059.4%,-,-,-,9116.6%,-,-,-,8846.9%,-,-,-,8668.7%,-,-
Revenue & Margin,Segment-2,-,Technology Service,-,-,-,Technology Service,-,-,-,Technology Service,-,-,-,Technology Service,-,-
Revenue & Margin,Segment-2 %,-,940.6%,-,-,-,883.4%,-,-,-,1153.1%,-,-,-,1331.3%,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
