Category,Metric,OSCR,AGL,BA,QEP,VIA,TSVT,WFRD,TTAN,MGX,TDS,ARCT,BLUE,CRWV,CDTX,PGY,LITE
Header,Fiscal Period,2025-Q3,2025-Q3,2025-Q4,2020-Q4,2025-Q3,2025.0-Q1,2025-Q4,2026-Q3,2025-Q3,2025-Q3,2025-Q3,2025-Q1,2025-Q3,2025-Q3,2025-Q3,2026-Q2
Header,Statement Date,2025-09-30,2025-09-30,2025-12-31,2020-12-31,2025-09-30,2025-03-31,2025-12-31,2025-10-31,2025-09-30,2025-09-30,2025-09-30,2025-03-31,2025-09-30,2025-09-30,2025-09-30,2025-12-31
Header,Filing Date,2025-11-06,2025-11-04,2026-01-30,2021-02-24,2025-11-06,2025-05-07,2026-02-04,2025-12-09,2025-11-12,2025-11-07,2025-11-12,2025-05-14,2025-10-02,2025-11-06,2025-11-10,2026-02-04
Revenue & Margin,Segment-1,-,Medical Services,Commercial Airplanes Segment,"Oil and Gas, Exploration and Production",-,Collaboration Arrangement,Service,Platform Revenue,-,Service,Collaboration Revenue,Product,-,Reportable Segment,Financial Service,-
Revenue & Margin,Segment-1 %,-,9978.9%,10000.0%,9864.7%,-,10000.0%,6059.4%,5665.8%,-,8279.6%,9086.0%,7614.7%,-,10000.0%,10000.0%,-
Revenue & Margin,Segment-2,-,Other Operating,Commercial Airplanes Segment,"Oil and Gas, Purchased",-,Royalty And Other Revenue,Product,Subscription Revenue,-,Product,Grant,Other Revenue,-,-,-,-
Revenue & Margin,Segment-2 %,-,21.1%,3425.7%,102.2%,-,1612.6%,3940.6%,4334.2%,-,1720.4%,914.0%,2385.3%,-,-,-,-
Revenue & Margin,Segment-3,-,-,Global Services,"Product and Service, Other",-,-,-,-,-,Other Segment,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,2990.1%,33.1%,-,-,-,-,-,413.8%,-,-,-,-,-,-
Revenue & Margin,Others,-,-,Boeing Capital Corporation,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,29.8%,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,11289005000,5885571000,89463000000,724400000,411357500,48365000.0,4918000000,916259000,30913000,3888521000,92043000,103946000,4306526000,0,1215974000,2105200000
Revenue & Margin,Rev-CoGS / Sale (%),100.0,-1.9545427283096237,4.827694130534411,-9.469906129210381,39.11524647052746,56.35273441538302,46.197641317608785,68.62633818603692,22.90945556885453,55.026088325098414,96.36908836087481,27.12273680564909,73.85263667280773,0.0,41.00811366032497,33.441003230096904
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),82.23567090279435,-5.932032762836435,-1.9728826442216334,-29.845389287686363,5.478324814790055,-38.99307350356663,39.38592923952826,8.840731714504305,-64.71063953676448,32.52395962372326,48.09708505807068,-118.9204009774306,58.85175196898847,0.0,21.43261286836725,15.54246627398822
Revenue & Margin,Op. Income / Rev (%),-2.0220028248725197,-6.344652031213284,-6.0080703754624825,-29.845389287686363,-16.194672517214347,-124.2282642406699,15.372102480683205,-13.896507428576419,-298.47960405007603,1.106487530863277,-85.12108471040709,-208.1619302330056,3.628516349373021,0.0,17.751284155746752,1.1827854835645069
Revenue & Margin,Net Profit / Rev (%),-2.16216575331484,-5.237469737430744,2.4982394956574225,0.44174489232468256,-23.25544082701786,-8.460663703091079,8.76372509150061,-23.907977984390875,-287.05722511564716,-1.4594237757749027,-72.47590799952197,-192.39027956823736,-17.801959166158525,0.0,-15.693509894126025,11.951358540756223
EBITDA,Net Income,-244087000,-308255000,2235000000,3200000,-95663000,-4092000.0,431000000,-219059000,-88738000,-56750000,-66709000,-199982000,-766646000,-184738000,-190829000,251600000
EBITDA,D & A,22933000,28119000,1953000000,133000000,5395000.0,6627000.0,267000000,80862000.0,5478000,802746000,3162000,61318000,1998876000,163000,31229000,248000000
EBITDA,Net Int Inc,-24724000,-6499000,-2771000000,0,-6471000,10335000.0,-91000000,9158000,10782000,-214615000,11786000,-16427000,-990383000,5378000,40952000,7800000
EBITDA,Tax Provision,5449000,1684000,397000000,-79900000,2493000,0.0,97000000,2253000,-1300000,-56772000,0,170000,-10831000,0,3813000,-200500000
EBITDA,EBITDA,-190981000,-271953000,7356000000,56300000,-81304000.0,-7800000.0,886000000,-145102000.0,-95342000,903839000,-75333000,-122067000,2211782000,-189953000,-196739000,291300000
EBITDA,Stock-Based Comp,74939000,41881000,426000000,12400000,0.0,9693000.0,29000000,237395000.0,12571000,67000000,27574000,11636000,481430000,9525000,29227000,190600000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,18.93,1.03,217.12,2.39,48.08,4.94,78.26,94.36,2.37,39.24,18.43,4.88,136.85,95.76,29.69,390.77
Capital Structure,O/S Shares,259273092,414465000,768083097,242300000,79588847,53055000.0,71800000,91794000,37349449,115000000,27188000,9751000,497886000,15547403,78539137,70700000
Capital Structure,Market Capitalization,4908039631,426898950,166766202020,579097000,3826631763,262091700.0,5619068000,8661681840,88518194,4512600000,501074840,47584880,68135699100,1488819311,2331826977,27627439000
Capital Structure,Cash,2148865000,171684000,10921000000,60400000,378158000.0,92356000.0,1042000000,493448000.0,32773000.0,932994000,180360000,78744000,1894399000.0,293651000,218314000,657700000
Capital Structure,Debt,686294000,37121000,54098000000,1593400000,41515000.0,239763000.0,1751000000,158095000.0,41663000.0,1410080000,21865000,188144000,18808277000.0,1984000,802420000,3322700000
Capital Structure,Enterprise Value,3445468631,292335950,209943202020,2112097000,3489988763,409498700.0,6328068000,8326328840,97408194,4989686000,342579840,156984880,85049577100,1197152311,2915932977,30292439000
Capital Structure,netCommonStockIssuance,12897000,-236000,0,0,314718000.0,0.0,-7000000,4101000.0,0,-41057000,0,0,1435600000,-1220000,0,47400000
Capital Structure,netDebtIssuance,352883000,0,-2873000000,0,-5000000.0,0.0,-126000000,-268000.0,0,-1626303000,0,-28019000,1716430000,0,25902000,0
Liquidity & Cash Flow,DSO,18.352986600679156,65.90702329476613,50.31433385869018,96.52798868028714,53.303802045665876,136.0476842758193,91.12011996746645,39.006614123299194,12.10841717076958,74.05412012690687,43.32449235683322,44.46798097088873,107.50772142093186,0.0,40.032140901039,51.558937393121795
Liquidity & Cash Flow,DIO,0,0.0,368.70598632904256,0.0,0.0,0.0,120.21825396825396,0.0,0.0,26.03887687626514,0.0,283.766022467757,0.0,0.0,0.0,129.91989009420496
Liquidity & Cash Flow,DPO,0,58.53069510301208,50.4916523771493,83.29870744010088,6.0035675213811714,61.82176693510185,94.45719954648526,32.62588097987922,27.98649867819227,47.79487597351357,805.113330341113,159.01805869074494,364.1688949711512,30.54238888888889,3.9756487984542592,68.14444761632886
Liquidity & Cash Flow,CCC,18.352986600679156,7.376328191754055,368.52866781058344,13.229281240186253,47.300234524284704,74.22591734071746,116.88117438923517,6.380733143419974,-15.87808150742269,52.29812102965843,-761.7888379842798,169.2159447479008,-256.66117355021936,-30.54238888888889,36.05649210258474,113.33437987099789
Liquidity & Cash Flow,OCF,769771000,-68807000,1065000000,673200000,-8530000.0,-54094000.0,676000000,84977000.0,-91622000,784313000,-58328000,-228786000,1685783000,-132940000,190886000,247000000
Liquidity & Cash Flow,CapEx,-34129000,-29581999,-2942000000,-357600000,-1458000.0,-95000.0,-149000000,-20509000.0,-823000,-491234000,-318000,-1683000,-9747066000,0,-14792000,-116700000
Liquidity & Cash Flow,FCF,735642000,-98538000,-1877000000,315600000,-12106000.0,-54189000.0,450000000,79976000.0,-92445000,286254000,-58646000,-230469000,-8061283000,-132940000,170594000,130300000
BQR,Total Debt / Adj Ebitda,999.0,999,7.354268624252311,28.30195381882771,999,999,1.9762979683972912,999,999,1.560100858670626,999.0,999,8.503675769130954,999,999,11.40645382766907
BQR,Adj Ebitda / Interest Expense,-999.0,-999,2.654637315048719,-999,-999,-999,9.736263736263735,-999,-999,4.211443748107076,-999.0,-999,2.2332592542481042,-999,-999,-999.0
BQR,Net Income before extraordinary,-244087000,-308255000,2235000000,3200000,-95663000,-4092000.0,431000000,-219059000,-88738000,-56750000,-66709000,-199982000,-766646000,-184738000,-190829000,251600000
BQR,(NCO-CAPEX) / Total Debt (%),107.19050436110471,-265.45082298429463,-3.469629191467337,19.806702648424753,-29.16054438154884,-22.601068555198257,25.69960022844089,50.58730510136311,-221.887526102297,20.300550323385906,-268.2186142236451,-122.49606684241857,-42.86029496481788,-6700.604838709677,21.259938685476435,3.921509615674
BQR,Score: Operating Leverage,75,75,75,75,75,75,42,75,75,35,75,75,75,75,75,75
BQR,Score: ICR,75,75,58,75,75,75,45,75,75,55,75,75,65,75,75,75
BQR,Score: Net Income,75,75,25,58,75,65,35,75,75,75,75,75,75,75,75,35
BQR,Score: FCF/Debt,15,75,75,48,75,75,42,15,75,45,75,75,75,75,45,75
BQR,BQR,60.0,75.0,59.95,64.0,75.0,72.5,40.7,60.0,75.0,50.5,75.0,75.0,73.5,75.0,67.5,65.0
