Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q)
Header,Fiscal Period,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4
Header,Statement Date,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31
Header,Filing Date,2025-12-09,2025-09-10,2025-06-12,2025-04-02,2025-01-14,2024-10-02,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31
Revenue & Margin,Segment-1,-,-,-,Platform Revenue,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,5665.8%,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,Subscription Revenue,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,4334.2%,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,916259000,866371000,817242000,771878000,724361000,685170000,648184000,624103000,591795000,555457000,513030000,467734000
Revenue & Margin,Rev-CoGS / Sale (%),68.62633818603692,67.85384090649387,66.4849579439138,64.89717286928763,63.913297375203804,63.60260957134726,62.60938252101255,62.20671908322824,60.98513843476204,59.045614692046364,58.01649026372727,56.87506146656005
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),8.840731714504305,9.556414053563659,6.905298552937808,6.447132837054561,7.433310186495408,5.796955500094867,5.0962381052293795,2.1325005648106163,1.6904502403703985,-3.628183639777697,-6.50137418864394,-13.466200874856222
