Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q)
Header,Fiscal Period,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3
Header,Statement Date,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Header,Filing Date,2024-08-09,2024-05-09,2024-03-29,2023-11-09,2023-08-09,2023-05-10,2023-03-31,2022-11-10,2022-08-10,2022-05-12,2022-03-31,2021-11-10,2021-08-11,2021-05-26,2021-03-30,2020-11-16
Revenue & Margin,Segment-1,-,-,Enterprise,-,-,-,Enterprise,-,-,-,Enterprise,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,5478.8%,-,-,-,5846.1%,-,-,-,5896.2%,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,Provider,-,-,-,Provider,-,-,-,Provider,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,2680.4%,-,-,-,2354.6%,-,-,-,2202.5%,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,Life Sciences,-,-,-,Life Sciences,-,-,-,Life Sciences,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,1840.9%,-,-,-,1799.3%,-,-,-,1901.3%,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,403729000,419817000,445251000,463237000,464529000,457999000,442414000,437689000,428688000,423324000,412816000,382692000,357310000,337079000,328805000,331757000
Revenue & Margin,Rev-CoGS / Sale (%),32.326882636620105,35.987823265851546,38.87223161767183,42.04996578425298,43.081917382983626,44.390489935567544,46.13800648261583,48.825078994445825,49.86563654685926,50.31795976604209,50.772741366613694,50.86361878481912,51.38926982172344,52.05456287695169,51.06217971137909,50.41400784308997
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-16.55937522446988,-10.323783934428572,-5.019416014787165,-0.5936486075162389,0.1728632658025656,-0.7277308465739007,-5.325328764460437,-7.295362689032624,-9.349456947710223,-3.410390150334023,5.231870857718693,8.958640368756075,16.87918054350564,15.649743828598044,15.609555815757059,18.41287448343215
Revenue & Margin,Op. Income / Rev (%),-29.46109890545391,-28.82327299752035,-28.742888842473125,-27.665104471361314,-26.6741150713949,-27.381500832971252,-31.49606477191047,-34.4621409265483,-36.129306162057254,-28.380150900964747,-19.85000339134142,-14.49546632801313,-5.842542889927514,-7.55846552291896,-5.302839068748955,-2.1374078014932616
Revenue & Margin,Net Profit / Rev (%),-33.641378251252696,-30.710047473065643,-28.93738587897613,-25.646483333585184,-26.222905351441998,-25.369269365216958,-27.007508803970943,-19.43640347369936,-23.496342328220056,-17.03746326690667,-15.764086421068951,-27.163272553384964,-18.79171335814839,-23.90923196046031,-18.544121895956568,-12.653840009404474
EBITDA,Net Income,-135820000,-128926000,-128844000,-118804000,-121813000,-116191000,-119485000,-85071000,-100726000,-72123671,-65076671,-103951671,-67144671,-80593000,-60974000,-41980000
EBITDA,D & A,65423000,63327000,64777000,59573000,53443000,50159000,45256000,42831000,39529000,35796000,32601000,28182000,25487000,24765000,24684000,25336000
EBITDA,Net Int Inc,3860000,4342000,4535000,4030000,2779000,1149000,-564000,-1803000,-14390000,-21027000,-27566000,-34394000,-29672000,-15045000,-226000,14349000
EBITDA,Tax Provision,-299000,-271000,-209000,112000,-472000,-268000,-207000,-1767000,-1647000,-1916000,-1923000,-1285000,-1245000,-889000,-1557000,-362000
EBITDA,EBITDA,-74556000,-70212000,-68811000,-63149000,-71621000,-67449000,-73872000,-42204000,-48454000,-17216671,-6832671,-42660671,-13230671,-41672000,-37621000,-31355000
EBITDA,Stock-Based Comp,54674000,50572000,46945000,43331000,40008000,46487000,69628000,82883000,83681000,67864000,46780000,38233000,27733000,30539000,19160000,7989000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,1.38,0.5504,1.08,0.9404,1.75,1.42,1.6,1.9,1.58,2.47,4.49,8.23,9.28,9.97,10.54,10.0
Capital Structure,O/S Shares,360401283,354208908,351519172,351519172,354049808,352923217,350688872,341962500,347334401,344891335,336534375,331653846,333900179,333900179,333900179,333900179
Capital Structure,Market Capitalization,497353770,194956582,379640705,330568629,619587164,501150968,561102195,649728750,548788353,851881597,1511039343,2729511152,3098593661,3328984784,3519307886,3339001790
Capital Structure,Cash,85151000.0,100320000.0,128187000.0,128008000.0,144162000.0,154430000.0,182508000.0,202564000.0,211574000.0,253306000.0,271105000.0,325915000.0,13741.0,325151.0,22603000.0,23184000.0
Capital Structure,Debt,1557000.0,2270000.0,2345000.0,450000.0,364000.0,224000.0,2941000.0,4726000.0,5542000.0,6347000.0,419000.0,243000.0,181991000.0,213955000.0,172224000.0,179161000.0
Capital Structure,Enterprise Value,413759770,96906582,253798705,203010629,475789164,346944968,381535195,451890750,342756353,604922597,1240353343,2403839152,3280570920,3542614633,3668928886,3494978790
Capital Structure,netCommonStockIssuance,-876000,-2784000,-1615000,-6637000,-2592000,-131000,0,0,0,0,-19581000,479713000,0,0,0,0
Capital Structure,netDebtIssuance,-179000,-285000,0,-125000,-340000,-370000,-389000,-299000,-159000,-84000,-470000,-46933000,-33473000,19764000,-10180000,-326000
Liquidity & Cash Flow,DSO,117.04022995623302,111.01032414123297,102.89369928422397,97.03835725557329,91.88605824394172,88.28337234360774,87.19234981261894,85.54678378940298,84.25162939013921,63.43444678307868,43.360858711871636,38.45456006396789,35.94531359323837,38.102699960543376,39.06151062179711,40.087541483676304
Liquidity & Cash Flow,DIO,2.873605498945889,6.459696205169424,11.175419403906353,15.61759627634608,17.132088191799575,18.469552320262594,18.725754638197515,18.37653524534906,18.199050809603573,13.247815192377184,8.475350362664724,6.7607330316260805,2.0362885814463616,2.188455208088408,2.1980299546330246,0.0
Liquidity & Cash Flow,DPO,55.328595323846336,48.651115043128144,40.50113071881017,28.63922818741944,24.095913971581044,23.39658154391007,26.640191906602375,35.803852455722875,41.57708682300391,33.28787990452462,22.18319120353512,20.18417525965082,10.163580726692805,10.923079064932493,10.970868808650797,12.394646059390293
Liquidity & Cash Flow,CCC,64.58524013133257,68.81890530327425,73.56798796932014,84.01672534449992,84.92223246416026,83.35634311996026,79.27791254421408,68.11946657902917,60.87359337673888,43.394382070931236,29.653017871001236,25.03111783594315,27.818021447991924,29.368076103699288,30.288671767779334,27.69289542428601
Liquidity & Cash Flow,OCF,-16330000,-10067000,-13974000,-30413000,-30985000,-61063000,-49657000,-64412000,-92760018,-61509000,-54103000,-26405000,8180018,7817000,14761000,15243000
Liquidity & Cash Flow,CapEx,-29338000,-28787000,-28775000,-35414000,-35320000,-41518000,-44354000,-46766000,-65045000,-58206000,-56503000,-45552000,-20255000,-11413000,-5502000,-2304000
Liquidity & Cash Flow,FCF,-45668000,-38854000,-42749000,-65827000,-66305000,-102581000,-94011000,-111178000,-157805018,-119715000,-110606000,-71957000,-12074982,-3596000,9259000,12939000
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-135820000,-128926000,-128844000,-118804000,-121813000,-116191000,-119485000,-85071000,-100726000,-72123671,-65076671,-103951671,-67144671,-80593000,-60974000,-41980000
BQR,(NCO-CAPEX) / Total Debt (%),-2933.0764290301863,-1711.6299559471365,-1822.9850746268658,-14628.222222222223,-18215.659340659342,-45795.08928571428,-3196.565793947637,-2352.475666525603,-2847.438072897871,-1886.1666929257917,-26397.61336515513,-29611.9341563786,-6.634933595617365,-1.6807272557313453,5.376138052768487,7.221995858473663
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,58
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,70.75
