Category,Metric,LE,CHS,SHCR,KRO,PLCE
Header,Fiscal Period,2025-Q3,2023-Q3,2024-Q2,2025-Q3,2025-Q3
Header,Statement Date,2025-10-31,2023-10-31,2024-06-30,2025-09-30,2025-11-30
Header,Filing Date,2025-12-09,2023-11-30,2024-08-09,2025-11-06,2025-12-16
Revenue & Margin,Segment-1,U Se Commerce,Chico's Brand,Enterprise,-,The Childrens Place US Member
Revenue & Margin,Segment-1 %,6183.4%,4876.5%,5478.8%,-,8978.3%
Revenue & Margin,Segment-2,Business Outfitters Revenue,White House Black Market,Provider,-,The Children's Place International
Revenue & Margin,Segment-2 %,1674.0%,2976.6%,2680.4%,-,1021.7%
Revenue & Margin,Segment-3,Licensing and Retail,Soma,Life Sciences,-,-
Revenue & Margin,Segment-3 %,773.4%,2146.9%,1840.9%,-,-
Revenue & Margin,Others,"Europe eCommerce, Third Party",-,-,-,-
Revenue & Margin,Others %,1369.2%,-,-,-,-
Revenue & Margin,Revenue Total,1314437000,2109048000,403729000,1864200000,1288160000
Revenue & Margin,Rev-CoGS / Sale (%),48.83862824920479,38.94088707321976,32.326882636620105,16.253620856131317,28.614768351757547
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),27.424212799852715,5.908258133527545,-16.55937522446988,3.5403926617315737,-0.515308657309651
Revenue & Margin,Op. Income / Rev (%),4.320024466748882,5.563220941391566,-29.46109890545391,2.961055680720953,-0.5153862874177121
Revenue & Margin,Net Profit / Rev (%),0.8942231540956318,5.298931081701317,-33.641378251252696,-2.2154275292350607,-4.013321326543286
EBITDA,Net Income,11754000,111757000,-135820000,-41300000,-51698000
EBITDA,D & A,31285000,41805000,65423000,62900000,32340000
EBITDA,Net Int Inc,-37334000,-389000,3860000,-48900000,-33418000
EBITDA,Tax Provision,6462000,3300000,-299000,47700000,8743000
EBITDA,EBITDA,86835000,157251000,-74556000,118200000,22803000
EBITDA,Stock-Based Comp,4541000,12622000,54674000,0,4347000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,15.74,7.49,1.38,5.74,7.17
Capital Structure,O/S Shares,30512000,119457000,360401283,115000000,22170000
Capital Structure,Market Capitalization,480258880,894732930,497353770,660100000,158958900
Capital Structure,Cash,36344000,101944000,85151000.0,27700000,7253000
Capital Structure,Debt,32903000,547876000,1557000.0,647100000,577698000
Capital Structure,Enterprise Value,476817880,1340664930,413759770,1279500000,729403900
Capital Structure,netCommonStockIssuance,0,-678000,-876000,0,0
Capital Structure,netDebtIssuance,36750000,0,-179000,33300000,2797000
Liquidity & Cash Flow,DSO,11.080412184075769,0.513350691876145,117.04022995623302,65.0233344061796,15.586794342317726
Liquidity & Cash Flow,DIO,159.6987623497362,85.98672429618425,2.873605498945889,157.75869523443504,164.2144746643757
Liquidity & Cash Flow,DPO,67.6880788241802,42.47254741932929,55.328595323846336,45.917243146297714,47.303770573810155
Liquidity & Cash Flow,CCC,103.09109570963176,44.0275275687311,64.58524013133257,176.86478649431692,132.49749843288328
Liquidity & Cash Flow,OCF,50174000,113479000,-16330000,-40300000,54128000
Liquidity & Cash Flow,CapEx,-39574000,-56242000,-29338000,-33000000,-14395000
Liquidity & Cash Flow,FCF,10600000,57237000,-45668000,-62100000,39733000
BQR,Total Debt / Adj Ebitda,0.3789140323602234,3.4840859517586535,999,5.474619289340102,25.334298118668595
BQR,Adj Ebitda / Interest Expense,2.3258959661434617,404.24421593830334,-999,2.4171779141104293,0.6823568136932192
BQR,Net Income before extraordinary,11754000,111757000,-135820000,-41300000,-51698000
BQR,(NCO-CAPEX) / Total Debt (%),32.21590736407015,10.447071965189203,-2933.0764290301863,-9.596662030598052,6.877815052155278
BQR,Score: Operating Leverage,15,48,75,65,75
BQR,Score: ICR,65,15,75,65,75
BQR,Score: Net Income,55,42,75,75,75
BQR,Score: FCF/Debt,35,58,75,75,65
BQR,BQR,37.5,44.05,75.0,70.0,72.5
