Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q),LTM (-18Q)
Header,Fiscal Period,2025.0-Q4,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,0.0-0,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3,2021.0-Q2
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Header,Filing Date,2026-02-26,2025-11-06,2025-08-07,2025-05-08,2025-02-27,2024-11-07,2024-08-06,2024-05-09,0,2023-11-14,2023-08-02,2023-05-05,2023-02-27,2022-10-31,2022-07-29,2022-04-29,2022-02-25,2021-10-29,2021-08-06
Revenue & Margin,Segment-1,Recurring revenue,-,-,-,Recurring revenue,-,-,-,Recurring revenue,-,-,-,Recurring revenue,-,-,-,Recurring revenue,-,-
Revenue & Margin,Segment-1 %,6237.4%,-,-,-,5782.0%,-,-,-,5731.1%,-,-,-,6171.6%,-,-,-,5821.7%,-,-
Revenue & Margin,Segment-2,All other products and services,-,-,-,All other products and services,-,-,-,All other products and services,-,-,-,All other products and services,-,-,-,All other products and services,-,-
Revenue & Margin,Segment-2 %,3762.6%,-,-,-,4218.0%,-,-,-,4268.9%,-,-,-,3828.4%,-,-,-,4178.3%,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2687000000.0,2822000000.0,2923000000.0,3147000000.0,3353000000.0,2671000000.0,3879000000.0,4919000000.0,5894000000.0,7903000000.0,7858000000.0,7869000000.0,7844000000.0,7869000000.0,7798000000.0,7478000000.0,7156000000.0,6753000000.0,4852000000.0
Revenue & Margin,Rev-CoGS / Sale (%),23.595087458131744,20.552799433026223,20.80054738282586,23.705115983476325,24.99254399045631,25.795582178959194,28.899200824954885,28.359422646879445,27.672209026128264,26.774642540807285,25.222702977856958,24.33600203329521,23.71239163691994,23.865802516202823,24.429340856629906,25.27413746991174,26.453325880380103,25.440544942988303,24.690849134377576
