Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2025-11-06,2025-08-07,2025-05-08,2025-03-12,2024-11-07,2024-08-08,2024-05-09,2024-03-15,2023-11-09,2023-08-10,2023-05-11,2023-03-21,2022-11-14,2022-08-29,2022-03-31,2021-12-31
Revenue & Margin,Segment-1,-,-,-,Coffee & tea,-,-,-,Product,-,-,-,Product,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,9918.0%,-,-,-,6065.9%,-,-,-,6022.6%,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,Other,-,-,-,Coffee & tea,-,-,-,Coffee & tea,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,82.0%,-,-,-,3921.6%,-,-,-,3951.8%,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,Other,-,-,-,Other,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,12.5%,-,-,-,25.6%,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1078457000,944492000,872022000,850726000,836715000,835467000,851772000,864714000,877471000,888167000,886886000,867872000,830541000,781510000,729241000,698144000
Revenue & Margin,Rev-CoGS / Sale (%),13.89781882819621,15.411988666923596,16.693730204054486,18.075620117405606,17.996450404259516,17.781671807504065,16.76892407827447,16.17378693995934,15.879385187658624,16.371921046379793,16.758861905588766,17.60225010139744,19.03807277425196,19.86718020242863,20.667927338150214,20.82994339276711
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-3.184549778062547,-4.00183379001622,-4.06732857657261,-3.6866159021823712,-3.693611325242167,-2.8537333012554655,-1.423972612389231,-0.5535934424561184,0.6087950484973292,1.9413015795452884,2.208401079732908,2.6248110320415914,2.9607207832003475,2.578981714885286,2.583370929500673,2.4231390658660676
