Category,Metric,DAL,SNAP,WDC
Header,Fiscal Period,2025-Q4,2025-Q4,2026-Q2
Header,Statement Date,2025-12-31,2025-12-31,2026-01-31
Header,Filing Date,2026-02-11,2026-02-05,2026-01-30
Revenue & Margin,Segment-1,Airline,Advertising Revenue,Cloud
Revenue & Margin,Segment-1 %,9198.8%,8743.4%,8761.6%
Revenue & Margin,Segment-2,Refinery,Other Revenue,Retail Products
Revenue & Margin,Segment-2 %,1098.6%,1256.6%,654.4%
Revenue & Margin,Segment-3,Intersegment Eliminations,-,Client Devices
Revenue & Margin,Segment-3 %,-297.3%,-,584.0%
Revenue & Margin,Others,-,-,-
Revenue & Margin,Others %,-,-,-
Revenue & Margin,Revenue Total,63364000000,5931447000,10734000000
Revenue & Margin,Rev-CoGS / Sale (%),24.52970140773941,54.970835784252984,42.7240544065586
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),19.05024935294489,21.46922985234463,38.08459101919136
Revenue & Margin,Op. Income / Rev (%),9.188182564232056,-8.971959118913142,29.76523197316937
Revenue & Margin,Net Profit / Rev (%),7.9003850766997035,-7.763518750146465,35.448108813117194
EBITDA,Net Income,5006000000,-460489000,3805000000
EBITDA,D & A,2443000000,163633000,376000000
EBITDA,Net Int Inc,-679000000,45159000,309000000
EBITDA,Tax Provision,1178000000,17710000,-328000000
EBITDA,EBITDA,9306000000,-324305000,3544000000
EBITDA,Stock-Based Comp,0,1016825000,210000000
EBITDA,Others Adj.,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD
Capital Structure,Stock Price,69.4,8.07,187.7
Capital Structure,O/S Shares,649000000,1710465000,345000000
Capital Structure,Market Capitalization,45040600000,13803452550,64756499999
Capital Structure,Cash,4310000000,1030435000,1975000000
Capital Structure,Debt,21083000000,4700954000,4655000000
Capital Structure,Enterprise Value,61813600000,17473971550,67436499999
Capital Structure,netCommonStockIssuance,0,-249919000,-615000000
Capital Structure,netDebtIssuance,-895000000,0,-32000000
Liquidity & Cash Flow,DSO,19.972638248847925,76.03958212051798,50.96364356251165
Liquidity & Cash Flow,DIO,11.744709437276512,0.0,79.31685100845803
Liquidity & Cash Flow,DPO,38.392128980991615,23.907642650842014,82.86414281067013
Liquidity & Cash Flow,CCC,-6.674781294867177,52.13193946967596,47.416351760299534
Liquidity & Cash Flow,OCF,8342000000,656170000,2671000000
Liquidity & Cash Flow,CapEx,-4501000000,-218981000,-365000000
Liquidity & Cash Flow,FCF,3841000000,437189000,2306000000
BQR,Total Debt / Adj Ebitda,2.2655276165914464,999,1.3134875846501128
BQR,Adj Ebitda / Interest Expense,13.705449189985272,-999,-999.0
BQR,Net Income before extraordinary,5006000000,-460489000,3805000000
BQR,(NCO-CAPEX) / Total Debt (%),18.218469857230943,9.300005913693264,49.53813104189044
BQR,Score: Operating Leverage,42,75,35
BQR,Score: ICR,35,75,75
BQR,Score: Net Income,15,75,25
BQR,Score: FCF/Debt,48,58,25
BQR,BQR,35.7,70.75,36.0
