symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
ANIP,0001023024,2026-05-21 00:00:00,2026-05-21 16:13:01,8-K,False,https://www.sec.gov/Archives/edgar/data/1023024/000102302426000056/0001023024-26-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1023024/000102302426000056/ani-20260521.htm
BHR-PD,0001574085,2026-05-21 00:00:00,2026-05-21 16:12:55,8-K,False,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000086/0001574085-26-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000086/bhr-20260521.htm
BHR-PB,0001574085,2026-05-21 00:00:00,2026-05-21 16:12:55,8-K,False,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000086/0001574085-26-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000086/bhr-20260521.htm
BHR,0001574085,2026-05-21 00:00:00,2026-05-21 16:12:55,8-K,False,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000086/0001574085-26-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000086/bhr-20260521.htm
None,0001811935,2026-05-21 00:00:00,2026-05-21 16:12:46,8-K,False,https://www.sec.gov/Archives/edgar/data/1811935/000181193526000044/0001811935-26-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1811935/000181193526000044/ptrn-20260515.htm
CURI,0001776909,2026-05-21 00:00:00,2026-05-21 16:12:19,8-K,False,https://www.sec.gov/Archives/edgar/data/1776909/000162828026037271/0001628280-26-037271-index.htm,https://www.sec.gov/Archives/edgar/data/1776909/000162828026037271/curi-20260520.htm
CURIW,0001776909,2026-05-21 00:00:00,2026-05-21 16:12:19,8-K,False,https://www.sec.gov/Archives/edgar/data/1776909/000162828026037271/0001628280-26-037271-index.htm,https://www.sec.gov/Archives/edgar/data/1776909/000162828026037271/curi-20260520.htm
PKKW,0001657642,2026-05-21 00:00:00,2026-05-21 16:12:04,8-K,False,https://www.sec.gov/Archives/edgar/data/1657642/000143774926018071/0001437749-26-018071-index.htm,https://www.sec.gov/Archives/edgar/data/1657642/000143774926018071/pkkw20260521_8k.htm
HYPR,0001833769,2026-05-21 00:00:00,2026-05-21 16:11:58,8-K,False,https://www.sec.gov/Archives/edgar/data/1833769/000119312526234426/0001193125-26-234426-index.htm,https://www.sec.gov/Archives/edgar/data/1833769/000119312526234426/hypr-20260521.htm
KRMD,0000704440,2026-05-21 00:00:00,2026-05-21 16:11:32,8-K,False,https://www.sec.gov/Archives/edgar/data/704440/000116169726000128/0001161697-26-000128-index.htm,https://www.sec.gov/Archives/edgar/data/704440/000116169726000128/form_8-k.htm
VRSN,0001014473,2026-05-21 00:00:00,2026-05-21 16:10:58,8-K,False,https://www.sec.gov/Archives/edgar/data/1014473/000101447326000023/0001014473-26-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1014473/000101447326000023/vrsn-20260521.htm
FLO,0001128928,2026-05-21 00:00:00,2026-05-21 16:10:52,8-K,True,https://www.sec.gov/Archives/edgar/data/1128928/000119312526234421/0001193125-26-234421-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000119312526234421/flo-ex99_1.htm
NATL,0001974138,2026-05-21 00:00:00,2026-05-21 16:10:50,8-K,False,https://www.sec.gov/Archives/edgar/data/1974138/000197413826000013/0001974138-26-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1974138/000197413826000013/natl-20260521.htm
KNSL,0001669162,2026-05-21 00:00:00,2026-05-21 16:10:48,8-K,False,https://www.sec.gov/Archives/edgar/data/1669162/000166916226000035/0001669162-26-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1669162/000166916226000035/knsl-20260521.htm
UEIC,0000101984,2026-05-21 00:00:00,2026-05-21 16:10:35,8-K,False,https://www.sec.gov/Archives/edgar/data/101984/000010198426000061/0000101984-26-000061-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198426000061/ueic-20260519.htm
WGRX,0002030763,2026-05-21 00:00:00,2026-05-21 16:10:28,8-K,False,https://www.sec.gov/Archives/edgar/data/2030763/000149315226024823/0001493152-26-024823-index.htm,https://www.sec.gov/Archives/edgar/data/2030763/000149315226024823/form8-k.htm
HRYU,0001911545,2026-05-21 00:00:00,2026-05-21 16:10:28,8-K,False,https://www.sec.gov/Archives/edgar/data/1911545/000149315226024822/0001493152-26-024822-index.htm,https://www.sec.gov/Archives/edgar/data/1911545/000149315226024822/form8-k.htm
OPTT,0001378140,2026-05-21 00:00:00,2026-05-21 16:10:27,8-K,False,https://www.sec.gov/Archives/edgar/data/1378140/000149315226024820/0001493152-26-024820-index.htm,https://www.sec.gov/Archives/edgar/data/1378140/000149315226024820/form8-k.htm
CAR,0000723612,2026-05-21 00:00:00,2026-05-21 16:10:23,8-K,False,https://www.sec.gov/Archives/edgar/data/723612/000095014226001467/0000950142-26-001467-index.htm,https://www.sec.gov/Archives/edgar/data/723612/000095014226001467/eh260782599_8k.htm
ANAB,0001370053,2026-05-21 00:00:00,2026-05-21 16:10:15,8-K,False,https://www.sec.gov/Archives/edgar/data/1370053/000119312526234419/0001193125-26-234419-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000119312526234419/anab-20260518.htm
ERIE,0000922621,2026-05-21 00:00:00,2026-05-21 16:10:12,8-K,False,https://www.sec.gov/Archives/edgar/data/922621/000162828026037267/0001628280-26-037267-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000162828026037267/erie-20260521.htm
TNDM,0001438133,2026-05-21 00:00:00,2026-05-21 16:10:03,8-K,False,https://www.sec.gov/Archives/edgar/data/1438133/000143813326000070/0001438133-26-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1438133/000143813326000070/tndm-20260520.htm
AVBH,0001443575,2026-05-21 00:00:00,2026-05-21 16:09:59,8-K,False,https://www.sec.gov/Archives/edgar/data/1443575/000143774926018068/0001437749-26-018068-index.htm,https://www.sec.gov/Archives/edgar/data/1443575/000143774926018068/avbh20260506_8k.htm
HBT,0000775215,2026-05-21 00:00:00,2026-05-21 16:09:12,8-K,False,https://www.sec.gov/Archives/edgar/data/775215/000077521526000059/0000775215-26-000059-index.htm,https://www.sec.gov/Archives/edgar/data/775215/000077521526000059/hbt-20260519.htm
SFM,0001575515,2026-05-21 00:00:00,2026-05-21 16:09:12,8-K,False,https://www.sec.gov/Archives/edgar/data/1575515/000157551526000029/0001575515-26-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1575515/000157551526000029/sfm-20260520.htm
PPTA,0001526243,2026-05-21 00:00:00,2026-05-21 16:09:10,8-K,False,https://www.sec.gov/Archives/edgar/data/1526243/000110465926065145/0001104659-26-065145-index.htm,https://www.sec.gov/Archives/edgar/data/1526243/000110465926065145/tm2615296d1_8k.htm
TTWO,0000946581,2026-05-21 00:00:00,2026-05-21 16:08:54,8-K,True,https://www.sec.gov/Archives/edgar/data/946581/000162828026037260/0001628280-26-037260-index.htm,https://www.sec.gov/Archives/edgar/data/946581/000162828026037260/ttwo4q26earningsrelease.htm
LION,0002052959,2026-05-21 00:00:00,2026-05-21 16:08:35,8-K,True,https://www.sec.gov/Archives/edgar/data/2052959/000205295926000043/0002052959-26-000043-index.htm,https://www.sec.gov/Archives/edgar/data/2052959/000205295926000043/ex991earningsreleaseq4f2026.htm
WMS,0001604028,2026-05-21 00:00:00,2026-05-21 16:08:16,8-K,False,https://www.sec.gov/Archives/edgar/data/1604028/000160402826000020/0001604028-26-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000160402826000020/wms-20260521.htm
BXSL,0001736035,2026-05-21 00:00:00,2026-05-21 16:08:12,8-K,False,https://www.sec.gov/Archives/edgar/data/1736035/000121390026060043/0001213900-26-060043-index.htm,https://www.sec.gov/Archives/edgar/data/1736035/000121390026060043/ea0291766-8k_blackstone.htm
CRH,0000849395,2026-05-21 00:00:00,2026-05-21 16:07:54,8-K,False,https://www.sec.gov/Archives/edgar/data/849395/000162828026037252/0001628280-26-037252-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000162828026037252/crh-20260521.htm
CRHCF,0000849395,2026-05-21 00:00:00,2026-05-21 16:07:54,8-K,False,https://www.sec.gov/Archives/edgar/data/849395/000162828026037252/0001628280-26-037252-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000162828026037252/crh-20260521.htm
ODYS,0001577445,2026-05-21 00:00:00,2026-05-21 16:07:39,8-K,False,https://www.sec.gov/Archives/edgar/data/1577445/000149315226024819/0001493152-26-024819-index.htm,https://www.sec.gov/Archives/edgar/data/1577445/000149315226024819/form8-k.htm
SCTC,0001577445,2026-05-21 00:00:00,2026-05-21 16:07:39,8-K,False,https://www.sec.gov/Archives/edgar/data/1577445/000149315226024819/0001493152-26-024819-index.htm,https://www.sec.gov/Archives/edgar/data/1577445/000149315226024819/form8-k.htm
STRL,0000874238,2026-05-21 00:00:00,2026-05-21 16:07:39,8-K,False,https://www.sec.gov/Archives/edgar/data/874238/000087423826000083/0000874238-26-000083-index.htm,https://www.sec.gov/Archives/edgar/data/874238/000087423826000083/strl-20260520.htm
TVTX,0001438533,2026-05-21 00:00:00,2026-05-21 16:07:19,8-K,False,https://www.sec.gov/Archives/edgar/data/1438533/000143853326000046/0001438533-26-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1438533/000143853326000046/tvtx-20260519.htm
None,0001603015,2026-05-21 00:00:00,2026-05-21 16:06:57,8-K,False,https://www.sec.gov/Archives/edgar/data/1603015/000160301526000017/0001603015-26-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1603015/000160301526000017/via-20260518.htm
DECK,0000910521,2026-05-21 00:00:00,2026-05-21 16:06:39,8-K,True,https://www.sec.gov/Archives/edgar/data/910521/000091052126000007/0000910521-26-000007-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052126000007/deckex991pressrelease-3312.htm
BBNX,0001674632,2026-05-21 00:00:00,2026-05-21 16:06:17,8-K,False,https://www.sec.gov/Archives/edgar/data/1674632/000117184326003617/0001171843-26-003617-index.htm,https://www.sec.gov/Archives/edgar/data/1674632/000117184326003617/f8k_052126.htm
FISI,0000862831,2026-05-21 00:00:00,2026-05-21 16:06:16,8-K,False,https://www.sec.gov/Archives/edgar/data/862831/000086283126000002/0000862831-26-000002-index.htm,https://www.sec.gov/Archives/edgar/data/862831/000086283126000002/fisi-20260520.htm
FIISO,0000862831,2026-05-21 00:00:00,2026-05-21 16:06:16,8-K,False,https://www.sec.gov/Archives/edgar/data/862831/000086283126000002/0000862831-26-000002-index.htm,https://www.sec.gov/Archives/edgar/data/862831/000086283126000002/fisi-20260520.htm
ZM,0001585521,2026-05-21 00:00:00,2026-05-21 16:06:07,8-K,True,https://www.sec.gov/Archives/edgar/data/1585521/000158552126000069/0001585521-26-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1585521/000158552126000069/zm-20260430ex991.htm
FOA,0001828937,2026-05-21 00:00:00,2026-05-21 16:06:06,8-K,False,https://www.sec.gov/Archives/edgar/data/1828937/000162828026037244/0001628280-26-037244-index.htm,https://www.sec.gov/Archives/edgar/data/1828937/000162828026037244/foa-20260515.htm
FOA-WT,0001828937,2026-05-21 00:00:00,2026-05-21 16:06:06,8-K,False,https://www.sec.gov/Archives/edgar/data/1828937/000162828026037244/0001628280-26-037244-index.htm,https://www.sec.gov/Archives/edgar/data/1828937/000162828026037244/foa-20260515.htm
GIA-UN,0001844505,2026-05-21 00:00:00,2026-05-21 16:06:04,8-K,False,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/form2026x05x21offeringclose.htm
GIA,0001844505,2026-05-21 00:00:00,2026-05-21 16:06:04,8-K,False,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/form2026x05x21offeringclose.htm
GIA-WT,0001844505,2026-05-21 00:00:00,2026-05-21 16:06:04,8-K,False,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/form2026x05x21offeringclose.htm
QTIWW,0001844505,2026-05-21 00:00:00,2026-05-21 16:06:04,8-K,False,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/form2026x05x21offeringclose.htm
QTIH,0001844505,2026-05-21 00:00:00,2026-05-21 16:06:04,8-K,False,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/form2026x05x21offeringclose.htm
QTI,0001844505,2026-05-21 00:00:00,2026-05-21 16:06:04,8-K,False,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/0001628280-26-037242-index.htm,https://www.sec.gov/Archives/edgar/data/1844505/000162828026037242/form2026x05x21offeringclose.htm
BTU,0001064728,2026-05-21 00:00:00,2026-05-21 16:06:00,8-K,False,https://www.sec.gov/Archives/edgar/data/1064728/000106472826000032/0001064728-26-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472826000032/btu-20260520.htm
ORCC,0001655888,2026-05-21 00:00:00,2026-05-21 16:05:58,8-K,False,https://www.sec.gov/Archives/edgar/data/1655888/000162828026037240/0001628280-26-037240-index.htm,https://www.sec.gov/Archives/edgar/data/1655888/000162828026037240/obdc-20260518.htm
OBDC,0001655888,2026-05-21 00:00:00,2026-05-21 16:05:58,8-K,False,https://www.sec.gov/Archives/edgar/data/1655888/000162828026037240/0001628280-26-037240-index.htm,https://www.sec.gov/Archives/edgar/data/1655888/000162828026037240/obdc-20260518.htm
