Category,Metric,AGL,BKD,CPE,DAL,FUN,HE,IOVA,LUV,LYV,MGI,MPW,NE,RCL,SNAP,VIA,WFRD
Header,Fiscal Period,2025-Q3,2025-Q4,2023-Q4,2025-Q4,2025.0-Q4,2025-Q3,2025-Q3,2025-Q4,0.0-0,2023-Q1,2025.0-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q3,2025-Q4
Header,Statement Date,2025-09-30,2025-12-31,2023-12-31,2025-12-31,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-12-31,2023-03-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2025-12-31
Header,Filing Date,2025-11-04,2026-02-19,2024-02-26,2026-02-11,2026-01-14,2025-11-07,2025-11-06,2026-02-05,0,2023-04-28,2026-02-19,2026-02-12,2026-02-11,2026-02-05,2025-11-06,2026-02-04
Revenue & Margin,Segment-1,Medical Services,"Health Care, Resident Service","Oil and Gas, Exploration and Production",Airline,Admission,"Electric Energy Sales, Large Light And Power",UNITED STATES,Passenger,Concerts,Timing of revenue recognition,-,Oil and Gas Service,Cruise Itinerary,Advertising Revenue,-,Service
Revenue & Margin,Segment-1 %,9978.9%,9526.1%,7243.0%,9198.8%,5182.6%,3490.5%,9815.5%,9099.2%,6330.8%,10000.0%,-,5000.0%,9518.3%,8743.4%,-,6059.4%
Revenue & Margin,Segment-2,Other Operating,"Reimbursement Costs, Managed Communities","Oil and Gas, Purchased",Refinery,"Food, Merchandise and Gaming","Electric Energy Sales, Commercial",Non-US,"Product and Service, Other",Sponsorship and Advertising,-,-,Floaters,Other Products And Services,Other Revenue,-,Product
Revenue & Margin,Segment-2 %,21.1%,439.9%,1660.6%,1098.6%,3315.6%,3146.7%,184.5%,839.9%,3274.0%,-,-,4131.8%,481.7%,1256.6%,-,3940.6%
Revenue & Margin,Segment-3,-,Management Service,Natural Gas Liquids,Intersegment Eliminations,"Accommodations, Extra-Charge Products And Other","Electric Energy Sales, Residential",-,Cargo and Freight,Ticketing,-,-,Jackups,-,-,-,-
Revenue & Margin,Segment-3 %,-,34.0%,744.4%,-297.3%,1501.8%,3144.9%,-,60.9%,395.2%,-,-,868.2%,-,-,-,-
Revenue & Margin,Others,-,Other Operating Income,Natural Gas,-,-,"Product and Service, Other, Electric Energy Sales, Other, Other Sales, Regulatory Revenue",-,-,"Corporate Segment, Other Segments",-,-,-,-,-,-,-
Revenue & Margin,Others %,-,30.1%,352.0%,-,-,217.9%,-,-,-29.9%,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,5885571000,3124949000,1832785000,63364000000,3100289000.0,2768021000,250425000,28063000000,18887901000.0,1340000000,972022000.0,3285568000,17935000000,5931447000,411357500,4918000000
Revenue & Margin,Rev-CoGS / Sale (%),-1.9545427283096237,20.641104862831362,36.495606413190856,24.52970140773941,57.690008899170365,8.32930819527742,38.76170510132774,17.4393329294801,53.75513139337187,29.910447761194032,55.66530387172307,23.629886826265654,46.835795929746304,54.970835784252984,39.11524647052746,46.197641317608785
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-5.932032762836435,9.444506134340113,30.202233213388368,19.05024935294489,43.86194319303781,8.32930819527742,-24.603374263751622,9.446602287709796,38.98216111996775,13.947761194029852,70.05952540168843,19.57740640278941,34.446612768330084,21.46922985234463,5.478324814790055,39.38592923952826
Revenue & Margin,Op. Income / Rev (%),-6.344652031213284,0.5493529654403959,13.851761117643369,9.188182564232056,-43.72979422240959,8.32930819527742,-166.30607966457023,1.5251398638777038,7.379713606080422,7.08955223880597,38.13339615770013,14.37093981923369,27.371062168943403,-8.971959118913142,-16.194672517214347,15.372102480683205
Revenue & Margin,Net Profit / Rev (%),-5.237469737430744,-8.406281190509029,21.890238080298563,7.9003850766997035,-50.77855645070508,0.6195039705262352,-158.7832684436458,1.5714642055375407,3.6958685880448017,2.544776119402985,-20.442027032309966,6.596028449266611,23.824923334262614,-7.763518750146465,-23.25544082701786,8.76372509150061
EBITDA,Net Income,-308255000,-262692000,401201000,5006000000,-1574282000.0,17148000,-397633000,441000000,698072000.0,34100000,-198701000.0,216717000,4273000000,-460489000,-95663000,431000000
EBITDA,D & A,28119000,289710000,511882000,2443000000,365011000.0,262528999,46398000,1561000000,490608000.0,52000000,203145000.0,577104000,1718000000,163633000,5395000.0,267000000
EBITDA,Net Int Inc,-6499000,-240730000,-39800000,-679000000,-359958000.0,-77927000,16899000,91000000,-124069000.0,-53500000,-490839000.0,0,-968000000,45159000,-6471000,-91000000
EBITDA,Tax Provision,1684000,-1951000,-189808000,1178000000,-87894001.0,38476000,-697000,122000000,389196000.0,3300000,-38618000.0,202081000,15000000,17710000,2493000,97000000
EBITDA,EBITDA,-271953000,265797000,763075000,9306000000,-937207001.0,396079999,-368831000,2033000000,1701945000.0,142900000,456665000.0,995902000,6974000000,-324305000,-81304000.0,886000000
EBITDA,Stock-Based Comp,41881000,9701000,11413000,0,40962000.0,-600000,68835000,0,126912000.0,14300000,30864000.0,30512000,175000000,1016825000,0.0,29000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,1.03,10.79,32.4,69.4,15.34,11.04,2.17,41.33,142.5,10.42,5.0,28.24,278.92,8.07,48.08,78.26
Capital Structure,O/S Shares,414465000,234326000,67257000,649000000,101476000.0,172617000,364037000,516000000,232043356.0,100700000,600966000.0,158872000,271000000,1710465000,79588847,71800000
Capital Structure,Market Capitalization,426898950,2528377540,2179126800,45040600000,1556641840.0,1905691679,789960290,21326280000,33066178230.0,1049294000,3004830000.0,4486545280,75587320000,13803452550,3826631763,5619068000
