Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Header,Filing Date,2025-11-06,2025-07-31,2025-05-01,2025-03-06,2024-10-31,2024-08-01,2024-05-02,2024-02-29
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,411357500,385018500,360996500,337630000,315942000,294571000,272075000,248854000
Revenue & Margin,Rev-CoGS / Sale (%),39.11524647052746,38.914883310801955,38.52655081143446,37.73450226579392,36.89411347652417,37.53356576173486,37.755765873380504,38.39078335088043
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),5.478324814790055,4.888466398367871,3.4444932291587316,1.7616917927909248,-0.5004083027897526,-2.2432622355900613,-4.213544059542405,-6.336245348678342
Revenue & Margin,Op. Income / Rev (%),-16.194672517214347,-18.04744447344738,-20.806018894920033,-24.594674643840893,-29.30347975261282,-33.98671288076559,-39.5707066066342,-44.84597394456188
Revenue & Margin,Net Profit / Rev (%),-23.25544082701786,-20.8044548508708,-22.982217279114895,-26.739626218049345,-30.828443195270015,-35.39520183589016,-40.576311678765045,-46.88934033610069
EBITDA,Net Income,-95663000,-80101000,-82965000,-90281000,-97400000,-104264000,-110398000,-116685999
EBITDA,D & A,5395000.0,3262000.0,3549000.0,3875000.0,3875000.0,3875000.0,2029000.0,0.0
EBITDA,Net Int Inc,-6471000,-5714000,-3995000,-2096000,-270000,828000,1908000,2946000
EBITDA,Tax Provision,2493000,2402000,2169000,1890000,1971000,2090000,1914000,1815000
EBITDA,EBITDA,-81304000.0,-68723000.0,-73252000.0,-82420000.0,-91284000.0,-99127000.0,-108363000.0,-117816999.0
EBITDA,Stock-Based Comp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,48.08,49.51,49.51,49.51,49.51,49.51,49.51,49.51
Capital Structure,O/S Shares,79588847,71804142,71804142,79514745,79514745,79514745,79514745,79514745
Capital Structure,Market Capitalization,3826631763,3555023070,3555023070,3936775024,3936775024,3936775024,3936775024,3936775024
Capital Structure,Cash,378158000.0,78212000.0,0.0,77905000.0,0.0,0.0,0.0,71737000.0
Capital Structure,Debt,41515000.0,88437000.0,0.0,82606000.0,0.0,0.0,0.0,1212887000.0
Capital Structure,Enterprise Value,3489988763,3565248070,3555023070,3941476024,3936775024,3936775024,3936775024,5077925024
Capital Structure,netCommonStockIssuance,314718000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capital Structure,netDebtIssuance,-5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DSO,53.303802045665876,36.96940536623565,18.644502093510603,19.934839913514793,17.156127548727298,18.400797261101737,19.92223192134522,21.781210066946883
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,6.0035675213811714,4.196066780334114,1.609807946214125,1.6993238261498287,3.1355202178775996,3.3974270140428677,3.691467720887388,4.077524018862879
Liquidity & Cash Flow,CCC,47.300234524284704,32.773338585901534,17.034694147296477,18.235516087364964,14.020607330849698,15.003370247058868,16.23076420045783,17.703686048084005
Liquidity & Cash Flow,OCF,-8530000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,CapEx,-1458000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,FCF,-12106000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-95663000,-80101000,-82965000,-90281000,-97400000,-104264000,-110398000,-116685999
BQR,(NCO-CAPEX) / Total Debt (%),-29.16054438154884,0.0,999.0,0.0,999.0,999.0,999.0,0.0
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,15,75,15,15,15,75
BQR,BQR,75.0,75.0,60.0,75.0,60.0,60.0,60.0,75.0
