Category,Metric,DBI,STKL,KALU,HOME,NLS,GAP,LE,RILY,PLCE,LCUT,RCKY,GT,TCS,UNFI,SHCR,FET,DK,WNC,WGO,CLW,BBCP,SPTN,ASLE,VRTV,VIAV
Header,Fiscal Period,2025-Q3,2025-Q3,2025-Q3,2021-Q2,2023-Q1,2025-Q3,2025.0-Q3,2025.0-Q4,2025.0-Q3,2025-Q3,2025-Q3,2025-Q4,2024-Q2,2026-Q1,2024-Q2,2025-Q3,2025-Q3,2025-Q4,2026-Q1,2025-Q3,2025-Q4,2025.0-Q2,2025-Q3,2023-Q3,2026-Q2
Header,Statement Date,2025-11-30,2025-09-30,2025-09-30,2021-05-31,2023-06-30,2025-11-30,2025-10-31,2025-12-31,2025-11-30,2025-09-30,2025-09-30,2025-12-31,2024-09-30,2025-11-30,2024-06-30,2025-09-30,2025-09-30,2025-12-31,2025-11-30,2025-09-30,2025-10-31,2025-07-31,2025-09-30,2023-09-30,2025-12-31
Header,Filing Date,2025-12-09,2025-11-05,2025-10-23,2021-06-02,2023-08-09,2025-11-25,2025-12-09,2026-01-14,2025-12-16,2025-11-06,2025-11-06,2026-02-10,2024-10-30,2025-12-02,2024-08-09,2025-10-31,2025-11-07,2026-02-04,2025-12-19,2025-10-28,2026-01-13,2025-08-14,2025-11-07,2023-11-03,2026-01-29
Revenue & Margin,Segment-1,U.S. Retail Segment,-,Packaging,Gift Card Redemption,Product Sales,-,U Se Commerce,Subscription Services,The Childrens Place US Member,Shipping and Handling,-,-,TCS,Conventional Segment,Enterprise,Drilling And Downhole,Refining,New Trailers,Marine Segment,Foodservice,US Concrete Pumping,Center Store,Product,Packaging,Product
Revenue & Margin,Segment-1 %,8419.8%,-,4169.6%,8393.8%,9208.6%,-,6183.4%,3390.4%,8978.3%,10000.0%,-,-,9253.8%,8623.1%,5478.8%,4447.3%,9260.7%,6841.8%,10000.0%,8400.4%,7754.6%,5281.5%,6229.2%,5529.9%,8411.0%
Revenue & Margin,Segment-2,Brand Portfolio,-,Aero Hs Products,Credit Card Program,Other Products And Services,-,Business Outfitters Revenue,Corporate Finance Consulting And Investment Banking Fees,The Children's Place International,-,-,-,Elfa,Retail Segment,Provider,Completions,Logistics,Equipment and Other,Motorhome Segment,Other,US Concrete Waste Management Services,Fresh,Services,Print Solutions,Service
Revenue & Margin,Segment-2 %,988.5%,-,2920.0%,1606.2%,503.2%,-,1674.0%,2940.2%,1021.7%,-,-,-,746.2%,1376.9%,2680.4%,3584.4%,739.3%,2477.2%,3873.7%,1599.6%,2245.4%,4586.7%,3129.0%,3365.6%,1589.0%
Revenue & Margin,Segment-3,Canada Retail Segment,-,Ge Products,-,Extended Warranties And Services,-,Licensing and Retail,Sale Of Goods,-,-,-,-,-,Other Segments,Life Sciences,Production and Infrastructure,Retail Segment,"Components, Parts and Services",Marine Segment,Pulp And Paperboard,UK Concrete Pumping,Other Product,Leasing,Facility Solutions,-
Revenue & Margin,Segment-3 %,854.3%,-,2044.0%,-,170.7%,-,773.4%,2630.8%,-,-,-,-,-,70.3%,1840.9%,1968.3%,482.1%,660.4%,861.9%,99.7%,1501.7%,131.8%,641.8%,1104.4%,-
